arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.78,0.1344,0.0479,0.6781,2324.4,,,,
expgrad_dp,0.7721,0.0228,0.124,0.9354,2231.2,-4.0071,0.6061,0.5675,1.3842
expgrad_dp_floor,0.7517,0.0197,0.1005,0.9467,2354.2,1.2845,0.439,0.4552,0.9059
