label,void,r,spread,band_low,band_high,holds,n_arms,dropped_parity,dropped_accuracy,n_kept
hmda_ms_2018_race,True,0.7999933771039852,1.8593215741678035,,,False,6,0,2,4
hmda_la_2018_race,False,0.9291339515378855,3.8409481203720612,0.6198231282320317,0.6972045267181293,True,6,0,1,5
hmda_ms_la_2018_race_improvement,False,0.8545564042965922,8.732607300294516,,,False,6,1,0,5
hmda_ms_la_2018_race_refinance,False,0.9948977574624365,4.788739541016307,0.7092867176525675,0.8073981582643983,True,6,0,2,4
