label,void,n_arms,dropped_parity,dropped_accuracy,n_kept,r,spread,band_low,band_high,holds
acs_income_al_2018,True,6,2,2,2,,,,,
acs_income_or_2018,False,6,2,1,3,0.7780046954644452,6.931623882036767,0.36164841849148416,0.6532238442822385,True
acs_income_ct_2018,False,6,2,0,4,-0.7369821896230222,24.819173243970933,,,False
acs_income_ky_2018,True,6,2,2,2,,,,,
acs_income_sc_2018,True,6,2,2,2,,,,,
hmda_ms_la_2018_race,False,6,0,2,4,0.8579316896985522,3.59688079549806,0.6196503809950694,0.7004975347377858,True
compas_2016_race,False,6,1,0,5,0.8696196293672427,87.7214883614331,0.4854271885521885,0.6887626262626263,True
lawschool_race,True,6,0,5,1,,,,,
