seed,arm,accuracy,sex_dp_gap,intersectional_gap_all,intersectional_gap_reliable,gap_inflation,worst_subgroup,worst_subgroup_rate,n_unreliable_subgroups
0,baseline,0.804902704068739,0.09400187422269321,0.3236749116607774,0.26909401497461755,0.05458089668615984,Male x Black,0.05458089668615984,10
0,expgrad_dp_sex,0.7927723022491787,0.012347744954467832,0.25229681978798585,0.2055131940569917,0.04678362573099415,Male x Black,0.04678362573099415,10
0,expgrad_dp_intersectional,0.7584028304270912,0.01586037960674025,1.0,0.053801169590643294,0.9461988304093567,Male x Black,0.14619883040935672,10
1,baseline,0.7993429365681072,0.1042901713677227,0.3684210526315789,0.24770765741313505,0.12071339521844388,Female x Black,0.058997050147492625,10
1,expgrad_dp_sex,0.7912560020217336,0.018449188024187074,0.2727272727272727,0.17028730549448143,0.10243996723279128,Male x Black,0.07293666026871401,10
1,expgrad_dp_intersectional,0.7702805155420773,0.014297846074607157,1.0,0.019304579583546144,0.9806954204164539,Female x White,0.15473251028806584,10
2,baseline,0.8041445539550164,0.10488953429551606,1.0,0.2562006949867935,0.7437993050132066,Female x Black,0.04969879518072289,10
2,expgrad_dp_sex,0.7952994692949203,0.013501761299243048,1.0,0.1857047906741649,0.8142952093258351,Male x Black,0.0546448087431694,10
2,expgrad_dp_intersectional,0.7710386656557998,0.005619857767549391,1.0,0.05885564114381023,0.9411443588561897,Male x Black,0.1384335154826958,10
