arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7411,0.1254,0.0773,0.8141,8883.8,,,,
expgrad_dp,0.6413,0.0197,0.0284,0.9731,10076.0,13.4268,-0.5593,0.4158,0.2931
expgrad_dp_floor,0.5879,0.017,0.0201,0.9785,10866.2,22.3195,-1.0658,0.3174,0.1724
