file,bytes,sha256
data/acs/2014/1-Year/ss14pnv.csv,25494304,f5c61712d789be99d731fd14df9ae16834f7c99a0dd5a657f3d6fa5cf06c9515
data/acs/2014/1-Year/ss14pny.csv,186688397,e4298121b87ebee580ab44193663e1d0b8ac690be35c115b15f147bb6e83e4dc
data/acs/2014/1-Year/ss14ptx.csv,241839823,f9cbae004fa20f58dd2c7e671128516e5b8c114d3d61e3176abdfd19e03699fb
data/acs/2014/1-Year/ss14pva.csv,79402410,62b7758409c634f255605b02fac2b71b75ade94bec068247658cddf50a64bb2c
data/acs/2018/1-Year/psam_p01.csv,33212796,bab50a5c581aab06652b2d71f3b81affc416a83752cf0150c37958c3f7257675
data/acs/2018/1-Year/psam_p04.csv,49108670,3fa49f68a0e884ce3a73e066224c00126dde26deb76ab8c6d643d000b5632d2c
data/acs/2018/1-Year/psam_p05.csv,21152558,8f5c9fac6eb9c8b34435daebbc9d58e84aff36c02f40ad5878719c85620fc205
data/acs/2018/1-Year/psam_p08.csv,39422156,dc2b6d03d510a2c67afb23f0882b4c7c852d1dee8f21233dd75e08be63cd35e4
data/acs/2018/1-Year/psam_p09.csv,25559205,a837b6ae10d51eb85bd2b45e316bed8dc68a44f76d6f05c4749ac49acb46c549
data/acs/2018/1-Year/psam_p12.csv,142285432,850e370344877e1bfa3e646390f645788db68c8c9bcf36b710bc84ebdc991c37
data/acs/2018/1-Year/psam_p13.csv,70582999,d13d80b4631b3962ed80b248d422569d236720f44f69171ed3b7d7e4fb8df8e7
data/acs/2018/1-Year/psam_p16.csv,11661186,197ebaaa540dff52135dafe3f465e61ff50463f5355741425b1e4157206bd8ab
data/acs/2018/1-Year/psam_p17.csv,88630961,f9cdef125864fca5ab4daca6d8935eff33759db305937b43c17225405e29efc1
data/acs/2018/1-Year/psam_p18.csv,47247367,c689a10ec991fb3c853fd710dbdc6152545e897299d0eb1dc7e87b07a21bb6b3
data/acs/2018/1-Year/psam_p19.csv,22506661,427d41f382f8b36a9b4a951b6f7dca8bbce83a623b99c69d3354e39069886753
data/acs/2018/1-Year/psam_p20.csv,20626197,dcc6f24586b0a7c77ba3afb1ad5dcbe779d41079a15745d69e869d6aa5ffd696
data/acs/2018/1-Year/psam_p21.csv,31683598,7067ed90f6a56ffef78881c96a4681249b49ae687d5aeb81c7675cb22eb4b0d9
data/acs/2018/1-Year/psam_p22.csv,30422941,048aadc0b564e985fc8f2ea79d66878d4028012cda4432d3b88e1188821fa5d2
data/acs/2018/1-Year/psam_p24.csv,42215342,a9cc611ea38e480c6d956ab9d085b671cf1a9c1f83727befc6495c8709854b3a
data/acs/2018/1-Year/psam_p25.csv,49501978,47be6d5a3636d3a9a02450239e93d8d25a6d86d25b108f6e6a5a786169f4dd21
data/acs/2018/1-Year/psam_p26.csv,69437905,2f9a630fdd506704eb0447fa5e706d63cb40488fdc4c5c274cd07f7c157e124b
data/acs/2018/1-Year/psam_p27.csv,38783920,07123453b399a1a61b9977e191aa7700562d5cfcfe8961df768a8de84b3afd00
data/acs/2018/1-Year/psam_p28.csv,20229762,2944df2dbdc582720746f4a29e8fc47b409b06e65a53c952a5cb1e4691cb0a70
data/acs/2018/1-Year/psam_p29.csv,43495526,310acfa123bbcb1b53aa5a892b2231c1b0bfe0d072430031382b379aa35042e9
data/acs/2018/1-Year/psam_p31.csv,13586448,46b6a6c5e9ca4137d868d5cb4421c5e6767d7d7f0eb373fff49d2a14e01d0c79
data/acs/2018/1-Year/psam_p32.csv,20399880,be330dcf43f4baf9b418b302d9c8c28fb40710e553225d01ebee5d2a2fd0dbbb
data/acs/2018/1-Year/psam_p34.csv,62428295,2692e67b3c5d3149736e307422c24f07aa8a950ecd63081d171ea3c6205bddb3
data/acs/2018/1-Year/psam_p35.csv,13442944,89d0cda191700869daa53fc5265658610e584192be49ca8a42fd601f909385f3
data/acs/2018/1-Year/psam_p36.csv,138176785,f9bfd886b96182c4e7bde11386dd5e1c7ea2d6194ef8bb4ee6bfbb0023814a91
data/acs/2018/1-Year/psam_p37.csv,71794700,0c507477666ea3a803a45026fb375d915ef5ae869e47149fb6cc1a9272464349
