method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1155,0.068,0.0476,0.5913,0.7873,1.8351,-15.8261
expgrad_eo,0.0525,0.0315,0.021,0.6014,0.8171,1.5813,-7.4259
gridsearch_dp,0.1173,0.0754,0.0419,0.6536,0.804,1.9691,-18.6056
prejudice_remover,0.089,0.0249,0.0641,0.281,0.5543,1.2135,-1.4354
adversarial_debiasing,0.0265,0.0173,0.0092,0.679,0.8191,1.6171,-4.3077
