arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7927,0.0988,0.037,0.7525,2313.3333,,,,
expgrad_eo,0.7918,0.0923,0.0327,0.7673,2317.6667,0.1867,0.3906,0.467,0.838
