population,market,n_test,gap,rate,pie
hmda_ar_2021_race_manufactured,ar,2421.0,0.225045899595399,0.36513837257331677,0.2553029829114971
hmda_fl_2021_race_manufactured,fl,8880.0,0.3109953675606283,0.5753828828828829,0.5219234026378133
hmda_in_2021_race_manufactured,in,2175.0,0.324131455399061,0.7174252873563218,3.673599791855321
hmda_la_2021_race_manufactured,la,4972.0,0.2888793875805881,0.34903459372485923,-12.364457047728852
hmda_ms_2021_race_manufactured,ms,3384.0,0.1845807043141858,0.42269503546099296,-2.3443257163808573
hmda_tx_2021_race_manufactured,tx,12735.0,0.1613507618450663,0.4481978798586573,-1.6839254838186182
