n,markets,located,transported,constant,survey,separating,floor,rate_lo,rate_hi,scoring
3,3,1,3,3,3,2,3,0.34903459372485923,0.4481978798586573,guarded
4,4,2,3,3,4,3,3,0.34903459372485923,0.5753828828828829,unguarded
