,proxy_share,shap_quality,change_vs_baseline,pct_change
baseline,0.541302455068708,exact,0.0,0.0
expgrad_dp,0.5709946408817121,sampled,0.029692185813004146,5.485322583514847
expgrad_eo,0.4524579390152986,sampled,-0.08884451605340937,-16.41310051736829
gridsearch_dp,0.5869884098505139,exact,0.045685954781805926,8.440005094011067
prejudice_remover [Female],0.6702704281510505,exact,0.12896797308234254,23.825491991528565
prejudice_remover [Male],0.5066229581254779,exact,-0.03467949694323014,-6.406676455740116
adversarial_debiasing,0.48832546302637836,exact,-0.05297699204232964,-9.786948414192068
