,accuracy,accuracy,demographic_parity_diff,demographic_parity_diff,equalized_odds_diff,equalized_odds_diff,disparate_impact,disparate_impact
,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,
decision_tree,0.8518,0.0036,0.1556,0.0125,0.0799,0.0323,0.3061,0.032
logistic_regression,0.8465,0.0028,0.1897,0.0068,0.1057,0.0349,0.2896,0.032
