seed,eps,accuracy,dp_diff,eo_diff,closure,rate_share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,pie_change_pct,verdict
0,0.005,0.8289968305447041,0.01892721666471589,0.276315293940421,0.16777057846546786,0.5890228436605657,0.7548387096774194,2.7940298507462686,936,304,-21.494992846924177,mixed
1,0.005,0.8270067074519054,0.01140966151993797,0.2894441724517422,0.18614154642390776,0.5625675147250123,0.7318894697535474,2.5789473684210527,980,359,-22.058823529411764,mixed
2,0.005,0.829291663595489,0.006125422641283823,0.2993195997941224,0.17885840330071942,0.5891383915843486,0.7513348588863463,2.852601156069364,985,326,-22.507022471910112,mixed
0,0.01,0.8302498710105403,0.02824267362748603,0.26054390171439096,0.15845512150269772,0.5891951927160204,0.7549103330486764,2.7974683544303796,884,287,-20.314735336194563,mixed
1,0.01,0.8275963735534754,0.01695357393756375,0.28220707432095976,0.18059763400628198,0.5616981822664875,0.7311248073959938,2.5718157181571817,949,349,-21.323529411764707,mixed
2,0.01,0.830765828849414,0.013886900025959908,0.28624302757169096,0.17109692591604334,0.589059080519367,0.7509976057462091,2.8575757575757574,941,312,-21.52387640449438,mixed
0,0.02,0.831945161052554,0.04234610448332002,0.23963184741627858,0.14435169064686373,0.5930530568519458,0.7570356472795498,2.8617021276595747,807,259,-18.776824034334766,mixed
1,0.02,0.8308395371121102,0.031989229083376924,0.25056386179423124,0.1655619788604688,0.5520319449561624,0.7233502538071066,2.4782608695652173,855,327,-18.75,mixed
2,0.02,0.8345249502469226,0.028410266458980676,0.2633830870753252,0.15657355948302257,0.5886042351964578,0.7510917030567685,2.86046511627907,860,285,-19.662921348314608,mixed
0,0.05,0.8379892385936464,0.08321975969758695,0.1430597923649557,0.1034780354325968,0.5835476402859894,0.7486772486772487,2.7881773399014778,566,190,-12.982832618025752,mixed
1,0.05,0.8381366551190389,0.07740748080706684,0.15269461077844315,0.12014372713677889,0.5525884960951271,0.7231308411214953,2.495967741935484,619,237,-13.639705882352942,mixed
2,0.05,0.8401267782118376,0.06807436554832277,0.18332935805537764,0.11690946039368047,0.5809517837630807,0.7441037735849056,2.7964601769911503,631,217,-14.25561797752809,mixed
0,0.1,0.8435173582958649,0.15504724374308126,0.06134518317750446,0.03165055138710249,0.6416985009084698,0.7899159663865546,3.6153846153846154,188,50,-4.86409155937053,mixed
1,0.1,0.844696690499005,0.1657493598805794,0.06818857044820215,0.03180184806326633,0.6077434246851646,0.7649572649572649,3.1403508771929824,179,55,-4.485294117647059,mixed
2,0.1,0.8488243532099948,0.1462269620533869,0.054692001160100354,0.03875686388861635,0.6254660012396877,0.7762237762237763,3.46875,222,64,-5.547752808988764,mixed
0,0.15,0.8451389400751824,0.18669779513018375,0.08975549948321382,0.0,,,,0,0,0.0,gap widened
1,0.15,0.844696690499005,0.19755120794384573,0.14579227289655483,0.0,,,,0,0,0.0,gap widened
2,0.15,0.8497088523623498,0.18498382594200324,0.0816311700236312,0.0,,,,0,0,0.0,gap widened
0,0.2,0.8451389400751824,0.18669779513018375,0.08975549948321382,0.0,,,,0,0,0.0,gap widened
1,0.2,0.844696690499005,0.19755120794384573,0.14579227289655483,0.0,,,,0,0,0.0,gap widened
2,0.2,0.8497088523623498,0.18498382594200324,0.0816311700236312,0.0,,,,0,0,0.0,gap widened
