,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
age,0.000980615997977557,0.006304474827803186,0.0039644203621369825,0.00298831948347505,0.01379245909608991,0.0015239367477926672,0.001018791340614742
capital-gain,0.005403063817672238,0.007694842514114758,0.008211306260550428,0.010231748666847795,0.023101658283581412,0.006443035038368023,0.004544952435785715
capital-loss,0.0005845685029322584,0.00918223782356393,0.01767561744792408,0.0014584380851795085,0.0024939359236723383,0.000663794345162217,0.00047541110470285903
education-num,0.002979959460232881,0.012661268126541609,0.01912207287240677,0.004681743792508481,0.024748430695730857,0.004466830342692605,0.0049131196262435
hours-per-week,0.0009704893091307832,0.012359304847952283,0.01495896877097828,0.003359815831035331,0.008011204560721675,0.0026559318824500066,0.0021055019343168093
marital-status,0.016959485663033853,0.014066400126935911,0.018780425490442978,0.01192475073244247,0.03653284350956777,0.01787583832860565,0.012420055091065137
native-country,0.0014999555471259685,0.003994990208151436,0.0054921370106326235,0.0017713515198930492,0.007493334752396377,0.0024334572844958895,0.001372584557659286
occupation,0.0024817809781868035,0.017157443447428644,0.012610425329830147,0.00717133563481684,0.014778233096389376,0.003495407990718655,0.004654848049785838
race,0.002794294613568609,0.0032385781703492787,0.0015649296164729522,0.0028367015572984848,0.006570818219173371,0.0019055707539026596,0.0022890106700594643
relationship,0.009620875678290763,0.015796053194504705,0.015115711594648229,0.02342367254636516,0.1307209761692052,0.016837937345931593,0.005518167647796871
workclass,0.002224483009769941,0.004502611051190447,0.0030384407562781567,0.0020992028873027613,0.007150429747548437,0.003123519079701885,0.0030283165773976263
