,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
marital-status,0.298244219963432,0.21950682047033118,0.1925199440838389,0.2738058693660146,0.22564674381235883,0.24992425722910136,0.16997711745759278
education-num,0.13554111262653126,0.1608115749533544,0.22936139742263026,0.1213348835478799,0.09826400326972055,0.1438294129797451,0.16324830681001598
capital-gain,0.1659873175185929,0.12462340810280541,0.12484033306621127,0.1513579410609679,0.10913201740120973,0.18273422347440602,0.17408203132329794
relationship,0.07453653762000656,0.18557477521341517,0.07021469302947414,0.15792838887065722,0.3194505521697064,0.08007275964555138,0.09615724501412556
occupation,0.11254115113361703,0.11873743907303781,0.1259025272621521,0.1084008836733562,0.07971412838256624,0.12183191182128172,0.1685065552354838
age,0.06886110063781312,0.05118593425482724,0.0723691850427093,0.06282380641071444,0.05824001316139956,0.06721919017288161,0.08694858425391368
hours-per-week,0.05598054635165243,0.047175606124927945,0.06382077463983353,0.04685326794048597,0.045459003786419136,0.05479402942954336,0.05368454531917622
capital-loss,0.028860117595390877,0.05107499360017343,0.07252507763202912,0.02479023254141872,0.01913172936399604,0.03114825465688407,0.03314922612056531
workclass,0.027126116787346954,0.021784592816852688,0.028661132364529045,0.026504808969245727,0.013029125393215287,0.03154535194632121,0.03512992686678437
native-country,0.018727192971795023,0.00753151869000012,0.009316898630693017,0.019079029720250523,0.014892006514438038,0.027561508991721873,0.01748713149649133
race,0.013594586793821847,0.011993336700274687,0.010468036825899283,0.007120887899009115,0.017040676744970073,0.009339099652562423,0.001629330102553033
