method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,model,seed,fit_seconds
baseline,0.8548684307510872,0.1552849249022144,0.08175472953464136,0.2931911817820678,decision_tree,0,0.1
expgrad_dp,0.838210363381735,0.026395338487244235,0.25445544968762684,0.8404432278111005,decision_tree,0,2.5
expgrad_eo,0.8484558118965136,0.10959721699311564,0.02070073689099794,0.4565829381575782,decision_tree,0,2.9
baseline,0.8478661457949436,0.16821166437191373,0.11124919971377994,0.2824953785198016,decision_tree,1,0.1
expgrad_dp,0.8341564089334415,0.01995342865907257,0.2648936926984606,0.8696622684309653,decision_tree,1,1.9
expgrad_eo,0.8454337731259675,0.1315968533263301,0.06997116877356402,0.374914946699932,decision_tree,1,2.8
baseline,0.8526571828701998,0.1432222283917562,0.04679401976072281,0.3425417706207001,decision_tree,2,0.1
expgrad_dp,0.8381366551190389,0.017616886898391387,0.2966205952874126,0.8942755896359972,decision_tree,2,2.5
expgrad_eo,0.8517726837178448,0.101978888206938,0.047749365001652944,0.4726580134392218,decision_tree,2,3.8
baseline,0.849487727574261,0.17575420860594515,0.0913937324512401,0.28176838803514254,decision_tree,3,0.1
expgrad_dp,0.8352620328738851,0.021540817832214093,0.28465291638944334,0.8619518476505131,decision_tree,3,2.4
expgrad_eo,0.8440333161347388,0.12142114263192617,0.03131054452938986,0.49843264581723956,decision_tree,3,2.7
baseline,0.8538365150733397,0.16378332037483534,0.08426543140134823,0.34300146824671834,decision_tree,4,0.1
expgrad_dp,0.8361465320262401,0.00781440274021089,0.2858454997761291,0.9508824294475969,decision_tree,4,2.4
expgrad_eo,0.8459497309648412,0.09792186374918266,0.007713464317159989,0.4840227685759409,decision_tree,4,3.8
