,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
marital-status,0.3254030960648653,0.24956531577241625,0.22762287788757962,0.29440625986847063,0.2550651567768306,0.2684015180069006,0.1755273148613835
education-num,0.13916057252907604,0.14274261123556176,0.2113142575290891,0.11941172933145897,0.10595649930665156,0.14675325767860423,0.16954015488807275
relationship,0.06518123053791976,0.19430524215710018,0.08886784537104613,0.17821931201969093,0.3244743238839347,0.060312309635864626,0.09360514293218658
capital-gain,0.15720883287603885,0.11981625732715936,0.12207287786703927,0.13806959096966304,0.0837414902395989,0.18737161846882738,0.17009120764825672
occupation,0.10596484157173673,0.09606298192660978,0.11411682436831018,0.09369426543671847,0.06902436008380178,0.11223925463833595,0.1584635758802841
age,0.06649735398523794,0.06478761511352338,0.07246663621702039,0.05885894835666951,0.052230883454089,0.06762290668017899,0.08553510629361312
hours-per-week,0.0560200233143572,0.046408569147880094,0.06498250898729968,0.044458971656674555,0.040065281462564356,0.05768930665656954,0.05203286079646917
capital-loss,0.02795407421208643,0.03694651766524201,0.04941559831113687,0.023436750161209535,0.016547726555708245,0.031071761837811594,0.03388433148270837
workclass,0.02956529610764425,0.024515567766692805,0.030249666180879275,0.02675984314803592,0.01348760609603197,0.036760601699860306,0.040579873702353476
native-country,0.018939469981635395,0.014735114819526838,0.009805502598196089,0.019128536187394928,0.029938667966150592,0.026241757798689848,0.017868693569023028
race,0.008105208819402184,0.010114207068287409,0.009085404682403415,0.0035557928640137593,0.00946800417463853,0.005535706898356957,0.0028717379456492955
