,,accuracy,accuracy,demographic_parity_diff,demographic_parity_diff,equalized_odds_diff,equalized_odds_diff,disparate_impact,disparate_impact
,,mean,std,mean,std,mean,std,mean,std
model,method,,,,,,,,
decision_tree,baseline,0.8517,0.003,0.1613,0.0125,0.0831,0.0234,0.3086,0.0315
decision_tree,expgrad_dp,0.8364,0.0018,0.0187,0.0069,0.2773,0.0171,0.8834,0.0423
decision_tree,expgrad_eo,0.8471,0.003,0.1125,0.0139,0.0355,0.0242,0.4573,0.0486
