method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,grid_index,on_frontier
grid_00,0.8031989386010172,0.4185072117421873,0.7716453884683464,0.009128995570074653,0,False
grid_01,0.7945013636028598,0.4641164108178535,0.7909233943015437,0.01634388098359119,1,False
grid_02,0.8098326822436795,0.41346689510343126,0.7404122572465133,0.02409025119659179,2,False
grid_03,0.8398319451610525,0.22655177662518114,0.5131979228126556,0.04035098504467672,3,False
grid_04,0.704282450062652,0.63605454526272,0.8430413805512664,0.022653099745639258,4,False
grid_05,0.8006928576693447,0.45223923786299247,0.7685174723927407,0.021590611776686617,5,False
grid_06,0.8371047394412914,0.2432416401342308,0.5251300334341799,0.03941054749923003,6,False
grid_07,0.8406427360507113,0.21060101062910538,0.4854462981793227,0.044259635608846756,7,False
grid_08,0.7429055797154861,0.09711713582340237,0.24370336894345482,1.5050532253666775,8,False
grid_09,0.6427360507112847,0.686960737806699,0.7365060235922285,0.0708630280854011,9,False
grid_10,0.7190978108645979,0.6030501994396797,0.6201391765734777,0.06505269570533487,10,False
grid_11,0.8192673398687993,0.38572831257868534,0.483280817819288,0.10569623124162027,11,False
grid_12,0.8548684307510872,0.1552849249022144,0.08175472953464136,0.2931911817820678,12,True
grid_13,0.8401267782118376,0.025789606926331615,0.256643944814773,0.8528465917561714,13,False
grid_14,0.7199823100169529,0.3056516552658797,0.4991902986479871,2.989451214587723,14,False
