method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,seed,fit_seconds
baseline,0.8451389400751824,0.18669779513018375,0.08975549948321382,0.3001316382307725,0,1.4
expgrad_dp,0.8302498710105403,0.02824267362748603,0.26054390171439096,0.8371244300500522,0,30.8
expgrad_eo,0.8348934915604039,0.1147689925870325,0.021338465780291048,0.5058512298485925,0,51.2
gridsearch_dp,0.8258273752487654,0.0005354203375325106,0.3134966963347937,1.0033886520049224,0,21.3
prejudice_remover,0.8347460750350114,0.07189588827197402,0.16656205408888725,0.655816756510853,0,19.6
adversarial_debiasing,0.8267118744011204,0.02501601010579574,0.2376839612180252,0.8637140865265452,0,5.0
baseline,0.844696690499005,0.19755120794384573,0.14579227289655483,0.2536411046411967,1,1.7
expgrad_dp,0.8275963735534754,0.01695357393756375,0.28220707432095976,0.8961466019262817,1,37.9
expgrad_eo,0.8372521559666839,0.11384600608723318,0.024717648221678004,0.4846259398186449,1,68.1
gridsearch_dp,0.8231738777917005,0.008817334512666447,0.322384580942936,1.0590703361133864,1,20.8
prejudice_remover,0.8357779907127589,0.06863717729587937,0.1633211564292798,0.6605943468273956,1,19.3
adversarial_debiasing,0.8257536669860691,0.026318464222583493,0.2395837256305,0.853123403199013,1,5.0
baseline,0.8497088523623498,0.18498382594200324,0.0816311700236312,0.31496891307041425,2,1.3
expgrad_dp,0.830765828849414,0.013886900025959908,0.28624302757169096,0.9179508190724253,2,31.8
expgrad_eo,0.8368099063905063,0.09924549296142304,0.055371437418663794,0.5665759539624644,2,51.9
gridsearch_dp,0.8387263212206089,0.0476039921320775,0.22565142252183257,0.7480015260430256,2,24.0
prejudice_remover,0.839979361686445,0.06331925639404917,0.20173907949300562,0.6952823173637928,2,18.8
adversarial_debiasing,0.8270067074519054,0.010500246894183107,0.26098536679262024,0.9427952046062291,2,5.0
baseline,0.84381219134665,0.18740348304811016,0.0874636980929875,0.295756627921792,3,1.6
expgrad_dp,0.8273752487653866,0.02475660899495269,0.26413838988689287,0.8565964420140565,3,30.2
expgrad_eo,0.8348197832977077,0.11449247803647278,0.022105959300246197,0.49051403602623045,3,47.9
gridsearch_dp,0.8233950025797891,0.0035678673697029373,0.3117015445000984,1.0226906453970412,3,21.1
prejudice_remover,0.8357042824500627,0.06861137092224004,0.18781932989367178,0.6713687578944172,3,17.5
adversarial_debiasing,0.8261222082995504,0.02921591073392088,0.24262376714077083,0.8432575802570313,3,5.1
baseline,0.8510356010908823,0.17409782081767966,0.06974729785711598,0.3334498983911746,4,1.9
expgrad_dp,0.8252377091471954,0.005360791182799224,0.30785389388937007,0.967870336615134,4,31.4
expgrad_eo,0.8368099063905063,0.09353480499668852,0.036367516539248634,0.5595929335939982,4,65.8
gridsearch_dp,0.8216260042750793,0.014723056251306738,0.34683463262154934,1.096585780193028,4,21.5
prejudice_remover,0.8362202402889364,0.050291198426692885,0.22235403407022436,0.7468022016538464,4,18.6
adversarial_debiasing,0.8242057934694479,0.009812217272230639,0.27112232557944904,0.9439074370917052,4,5.2
