method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,grid_index,on_frontier
grid_00,0.7342817129800251,0.590587949929295,0.8183381664344267,0.021421305327938563,0,False
grid_01,0.7555834008992408,0.5573508266534368,0.8089565104591655,0.024609426621025207,1,False
grid_02,0.7735682169971254,0.5154876381774043,0.7943777016198211,0.023207988738119464,2,False
grid_03,0.802535564236751,0.448500830484767,0.7121312929696163,0.035602111862057646,3,False
grid_04,0.8155082184712906,0.4049396965477561,0.5974026789188918,0.06494257665548406,4,False
grid_05,0.8192673398687993,0.38356236035891367,0.5375663766806011,0.07997273541987134,5,False
grid_06,0.8469079383798924,0.23035915785233713,0.17670110512727166,0.24467269330050007,6,False
grid_07,0.8548684307510872,0.1552849249022144,0.08175472953464136,0.2931911817820678,7,True
grid_08,0.853910223336036,0.1655567779598313,0.09289178456504188,0.3061011567248809,8,False
grid_09,0.844696690499005,0.05631616938709268,0.17919716123308943,0.6830095394917057,9,True
grid_10,0.8253851256725879,0.0174512753623777,0.363112349724032,1.1321908848375972,10,True
grid_11,0.7759268814034053,0.16783935418485021,0.5013118417253544,2.678027080376483,11,False
grid_12,0.6984594973096484,0.35673794756907673,0.6307155081869804,4.396056261785452,12,False
grid_13,0.7207931009066116,0.31072917072729045,0.5313565740636128,4.017664629396104,13,False
grid_14,0.672809021891354,0.3859908589961043,0.5433765592504718,3.8121752479604796,14,False
