,proxy_share,proxy_share_std,pct_change,pct_change_std,n_seeds,shap_quality
adversarial_debiasing,0.4808765336618263,0.00484867813578829,-11.703982058755702,1.5934330452415855,5,exact
baseline,0.5446919120193463,0.005799807692386585,0.0,0.0,5,exact
expgrad_dp,0.5859936507018,0.015382548788879468,7.577937470339037,2.332786696489838,5,sampled
expgrad_eo,0.47522864258070924,0.021597920301389857,-12.775321209940603,3.1597643507666078,5,sampled
gridsearch_dp,0.5855127661999923,0.023267150394779272,7.470506048069936,3.2706587747253497,5,exact
prejudice_remover [Female],0.596326555475673,0.07693540157429919,9.444964260341619,13.694559900206414,5,exact
prejudice_remover [Male],0.5047655183920406,0.006844455081219837,-7.319168020209858,1.7633194287947898,5,exact
