method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,seed
decision_tree,0.8548684307510872,0.1552849249022144,0.08175472953464136,0.2931911817820678,0
decision_tree,0.8478661457949436,0.16821166437191373,0.11124919971377994,0.2824953785198016,1
decision_tree,0.8526571828701998,0.1432222283917562,0.04679401976072281,0.3425417706207001,2
decision_tree,0.849487727574261,0.17575420860594515,0.0913937324512401,0.28176838803514254,3
decision_tree,0.8538365150733397,0.16378332037483534,0.08426543140134823,0.34300146824671834,4
logistic_regression,0.8451389400751824,0.18669779513018375,0.08975549948321382,0.3001316382307725,0
logistic_regression,0.844696690499005,0.19755120794384573,0.14579227289655483,0.2536411046411967,1
logistic_regression,0.8497088523623498,0.18498382594200324,0.0816311700236312,0.31496891307041425,2
logistic_regression,0.84381219134665,0.18740348304811016,0.0874636980929875,0.295756627921792,3
logistic_regression,0.8510356010908823,0.17409782081767966,0.06974729785711598,0.3334498983911746,4
