,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
marital-status,0.31567919197573546,0.24936205675557524,0.20049339065075705,0.27869824390171916,0.3004224263945074,0.2844997498001081,0.1753656952734727
education-num,0.13513367022346187,0.13883392922590096,0.1815970256118491,0.11894066113126732,0.1538188045562977,0.1396072456668922,0.15993902978024888
capital-gain,0.15623706979740856,0.11213248558481176,0.12840362441884948,0.14104468972812573,0.13815571490025982,0.17375447850428133,0.17643897613568973
occupation,0.10768093383117747,0.09572573182758813,0.1284230215142932,0.10208042672440215,0.08682291346187329,0.11786325478650857,0.15824285201100668
relationship,0.06870283447776446,0.20931310844667836,0.10413996632777735,0.172400209183733,0.07962942756755906,0.05907809987618498,0.09416774261802927
age,0.06831990501916586,0.05352142733001323,0.06750380729402865,0.0614237525239894,0.0820957033004385,0.0674906141491365,0.08612190411083256
hours-per-week,0.054604533904372164,0.04320753298450798,0.061998598825695375,0.04294048493085919,0.05675734943173168,0.053837250443580745,0.05061673870893724
capital-loss,0.02885694174330455,0.05907994377338704,0.08120988060768436,0.024917887478751618,0.022095871184355752,0.03252995246311807,0.033872327700506216
workclass,0.03150298234716524,0.026159240725306357,0.028989635471873033,0.030232225419166113,0.022262433190986943,0.03696634898674075,0.04240273769114009
native-country,0.01765311199931476,0.007321993913153172,0.009771940397775822,0.017949013575824124,0.030572561339283315,0.023953434636202968,0.015473815808161139
race,0.01562882468112953,0.00534254943307769,0.007469108879416474,0.009372405402162116,0.027366794672706668,0.010419570687245852,0.007358180161975444
