,baseline,expgrad_dp,expgrad_eo,gridsearch_dp,prejudice_remover [Female],prejudice_remover [Male],adversarial_debiasing
marital-status,0.30116951064388886,0.23293004417199772,0.18099740661069136,0.2634732955089712,0.3111409171672452,0.2626665153120487,0.14583715959420862
education-num,0.13113665016345263,0.16595205247130204,0.21634658884423302,0.12090406757496241,0.13633339848982715,0.14003431014853956,0.1603211782461399
capital-gain,0.16375446526865217,0.1044090253297385,0.14120469642395417,0.14891252940988967,0.13655738204438764,0.18619674454441046,0.18212425916590225
occupation,0.10921444602160417,0.13583618342816547,0.1454516375008592,0.1105897602597667,0.10759313045432937,0.11585492143917815,0.16652610367841061
relationship,0.07799049247276894,0.16564900487909165,0.06655787410478228,0.1623667826576806,0.0785918922980936,0.060488007260254474,0.10719200562719006
age,0.06891144365838218,0.04944889730770191,0.07699244285879164,0.0648232163829334,0.07758931465238088,0.0701440155268898,0.08822452194099747
hours-per-week,0.057341368708349855,0.07015339163924256,0.08744209694523275,0.04931570968196745,0.055985871485932905,0.059768036666522355,0.056004279808684415
workclass,0.03307228570480179,0.024231641498884644,0.03241067982127284,0.030776698036657422,0.024757951995361863,0.03882618145166209,0.042526516030076546
capital-loss,0.027546006431846518,0.04266166504297054,0.03874461583995551,0.024368819388217337,0.02226778601323909,0.030861926861691095,0.032782172443146504
native-country,0.01844274059890475,0.0043099552446261,0.0074226559623005815,0.01863589904870154,0.03458805168945789,0.025863324424303075,0.016430876311833376
race,0.011420590327348084,0.004418138986278769,0.006429305087926657,0.00583322205025202,0.01459430370974443,0.009296016364500176,0.0020309271534102004
