seed,method,accuracy,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
0,expgrad_dp,0.8302498710105403,0.15845512150269772,0.09336099585062241,0.06509412565207531,0.5891951927160204,mixed,0.3502994011976048,0.47578347578347585,mixed,884,29,0,287,9.969425638785761,6.50941256520753,0.7549103330486764,2.7974683544303796,-568.0,0.0884499152354979,0.008329033684676052,0.09416666666666666,-568,-20.314735336194563
0,expgrad_eo,0.8348934915604039,0.07192880254315125,0.03450535051321249,0.037423452029938756,0.47971534758294043,mixed,0.08349966733200265,0.6653386454183271,mixed,353,37,27,192,4.258571740554706,4.96711272397369,0.6477064220183486,1.6593886462882097,-151.0,0.04488833198201518,0.03832829660204909,0.8538587848932677,-151,-5.400572246065808
0,gridsearch_dp,0.8258273752487654,0.18723321546771626,0.1087573706049356,0.07847584486278067,0.5808657952770571,mixed,0.40325219581800753,0.48522331064253704,mixed,1027,31,0,346,11.552740773094563,7.847584486278068,0.7479970866715222,2.7241379310344827,-650.0,0.10348640082553254,0.0,0.0,-650,-23.24749642346209
0,prejudice_remover,0.8348197832977077,0.11491110100540344,0.05798209215986025,0.056929008845543194,0.5045821652786511,mixed,0.25631755357210106,0.39259476932118714,mixed,534,3,1,252,5.863725704302249,5.73826264459061,0.6793893129770993,2.0980392156862746,-280.0,0.058229527530036115,0.0,0.0,-280,-10.014306151645208
0,adversarial_debiasing,0.8267118744011204,0.16168178502438801,0.08320594016160734,0.07847584486278067,0.514627792790985,mixed,0.327439460701239,0.45137730749324295,mixed,845,83,0,346,10.133216859576327,7.847584486278068,0.709487825356843,1.9696969696969697,-416.0,0.09390432667502027,0.0,0.0,-416,-14.878397711015737
1,expgrad_dp,0.8275963735534754,0.18059763400628198,0.10144136274295698,0.07915627126332501,0.5616981822664875,mixed,0.4279993472175146,0.431043585381592,mixed,949,20,0,349,10.58091286307054,7.9156271263325015,0.7311248073959938,2.5718157181571817,-580.0,0.0971474902336552,0.009066116311638535,0.09332321699544766,-580,-21.323529411764707
1,expgrad_eo,0.8372521559666839,0.08370520185661255,0.043786853024677885,0.03991834883193468,0.5231079079133576,mixed,0.15311515334111636,0.4655243092563744,mixed,426,25,52,228,4.92465603843634,6.350646405080517,0.6513761467889908,1.8893280632411067,-225.0,0.05388074003095747,0.028893638976929314,0.5362517099863201,-225,-8.272058823529411
1,gridsearch_dp,0.8231738777917005,0.20636854245651218,0.11541821358375193,0.09095032887276026,0.5592820117342927,mixed,0.4681768538394908,0.4500261432650926,mixed,1083,26,0,401,12.109630923782484,9.095032887276027,0.7297843665768194,2.5362997658079625,-656.0,0.11129947667133486,0.0,0.0,-656,-24.11764705882353
1,prejudice_remover,0.8357779907127589,0.12891403064796636,0.062459052194802384,0.06645497845316399,0.48450158513283353,mixed,0.30911342932583463,0.3413653531155664,mixed,574,2,1,294,6.28958287835772,6.690859605352688,0.6612903225806451,1.9425675675675675,-279.0,0.06419989680843223,0.0,0.0,-279,-10.257352941176471
1,adversarial_debiasing,0.8257536669860691,0.17123274372126224,0.08549901725267528,0.08573372646858697,0.4993146485572475,mixed,0.38537599852705484,0.4043715253648367,mixed,855,72,0,378,10.122297444856956,8.573372646858697,0.6934306569343066,1.9,-405.0,0.09618928281860396,0.0,0.0,-405,-14.889705882352942
2,expgrad_dp,0.830765828849414,0.17109692591604334,0.10078619785979473,0.07031072805624859,0.589059080519367,mixed,0.35838804571151195,0.5098924065782022,mixed,941,18,2,312,10.471718715876829,7.121796325697437,0.7509976057462091,2.8575757575757574,-613.0,0.09383061841232403,0.01216186334488096,0.1296150824823252,-613,-21.52387640449438
