arm,accuracy,sex_dp_gap,intersectional_gap_all,intersectional_gap_reliable,gap_inflation,worst_subgroup_rate,worst_subgroup_mode
baseline,0.8465,0.1897,0.3541,0.3145,0.0396,0.0522,Female x Black
expgrad_dp_sex,0.8295,0.0197,0.2207,0.1776,0.0431,0.0762,Male x Black
expgrad_dp_intersectional,0.8129,0.0164,0.1606,0.0481,0.1124,0.157,Female x White
