purpose,n_test,positives_base,dp_base,dp_plain,pie_plain,pie_floor,exchange_plain,rate
improvement,2581.0,1433.2,0.3542921941376213,0.02965318637280846,-1.5732302584176732,1.2940640946764739,1.0968356173540996,0.555288647810926
other,3777.0,2427.8,0.32455685257241673,0.028002088702477758,-1.4563932617383533,0.041913886892705234,1.1243359666915769,0.6427852793222134
cashout,6378.0,4931.8,0.21481471617511536,0.013873995280682139,2.2755636294273094,2.388734877744386,0.7377150391423137,0.7732518030730637
purchase,25450.0,20812.0,0.1933404529149209,0.014335809079238298,7.409376639876678,7.418934549980401,0.2973246078171758,0.8177603143418467
refinance,6407.0,5580.6,0.16528864473967875,0.018665265072066638,2.9521189428993244,2.935315392276333,0.43080600994460416,0.8710160761666927
