arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.5625,0.2453,0.2079,0.672,1570.6,,,,
expgrad_dp,0.4312,0.0545,0.0721,0.9345,1760.0,12.0695,-0.4146,0.8193,0.415
expgrad_dp_floor,0.4339,0.0549,0.0718,0.9352,1758.8,11.9925,-0.4115,0.8186,0.4144
