arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.792,0.0868,0.014,0.8644,4457.2,,,,
expgrad_dp,0.7805,0.0111,0.0917,0.9861,4480.0,0.5134,0.4542,0.486,0.9068
expgrad_dp_floor,0.7803,0.0098,0.0906,0.984,4482.8,0.5767,0.4496,0.4809,0.896
