strength,outcome,seed,outcome_spread,leakage_auc,synth_baseline,synth_baseline_exact,synth_mitigated,excess,excess_mismatched,baseline_accuracy,mitigated_accuracy,mitigated_dp
0.5,0.5,0,0.028231874699782805,0.8075092494009866,0.020808419715557525,0.011976340994948898,0.027709665954370293,0.006901246238812768,0.015733324959421396,0.789702140398144,0.7786259541984732,0.012678004840952328
0.5,0.5,1,0.02881052278743819,0.8016883175885959,0.03247285505358886,0.008434312324773386,0.03249058460504904,1.7729551460184123e-05,0.024056272280275653,0.7849124382577458,0.7714414009878761,0.02388610778849576
0.5,0.5,2,0.02418127822026539,0.8052432516589483,0.0193146916589079,0.017109016332730837,0.04279789911616721,0.02348320745725931,0.02568888278343637,0.7914982787007933,0.778176919622811,0.020147559438501217
1.0,0.5,0,0.016252342573503636,0.9414349460443379,0.057258959393751356,0.059890104138799256,0.05628653014286698,-0.0009724292508843727,-0.003603573995932273,0.797485406376291,0.7793743451579105,0.007381832763216245
1.0,0.5,1,0.010649919346020456,0.942999842513718,0.06626237784982031,0.06199972197998601,0.039603406710025824,-0.026658971139794485,-0.022396315269960186,0.7914982787007933,0.7732375392905254,0.02234958399019954
1.0,0.5,2,0.01710661583448153,0.9400761554815191,0.05824590110803256,0.057624448934600815,0.04548138156302099,-0.012764519545011566,-0.012143067371579823,0.796138302649304,0.7789253105822481,0.01686144744797699
0.5,0.65,0,0.26230223349539744,0.8080662426448788,0.09280803231478642,0.07934428680459726,0.09044963371433178,-0.002358398600454642,0.011105346909734512,0.797485406376291,0.7840143691064212,0.00863157709492221
0.5,0.65,1,0.2706232572344548,0.8022398338295258,0.11649190122761513,0.08716385742968567,0.09401760258857499,-0.022474298639040144,0.006853745158889313,0.7906002095494686,0.7783265978146984,0.02459120457970823
0.5,0.65,2,0.2641843405148182,0.8055040378082003,0.0800041437163364,0.07812198852539234,0.09352745095253921,0.013523307236202806,0.015405462427146868,0.7991318664870528,0.7849124382577458,0.026617156954204524
1.0,0.65,0,0.24424696934191334,0.9414057652908494,0.0860637836196605,0.0871432348354937,0.11394113177320464,0.027877348153544146,0.02679789693771094,0.8006286484059273,0.7817691962281096,0.0011463995708902996
1.0,0.65,1,0.24839159341994377,0.9429865540475142,0.10938647080642572,0.09301657193793329,0.10594060889182276,-0.0034458619146029573,0.012924036953889467,0.796138302649304,0.7780272414309235,0.022007585559316062
1.0,0.65,2,0.24928115311100804,0.9400988715757733,0.09010251713045404,0.0844114079789824,0.08411086318132631,-0.005991653949127734,-0.00030054479765609377,0.8022751085166892,0.7861098637928454,0.018608431819124582
0.5,0.8,0,0.5257127243930636,0.809413450693236,0.18515966242904325,0.1721074866017196,0.17832065708577496,-0.006839005343268284,0.006213170484055369,0.820535847926957,0.7994312228708277,0.010160289429976876
0.5,0.8,1,0.5413499648616589,0.8036711722348632,0.25150369502466874,0.18013708260184275,0.22998935275610696,-0.021514342268561776,0.04985227015426422,0.818140996856758,0.79988025744649,0.022675959494600134
0.5,0.8,2,0.5477062762651456,0.8070002023797488,0.18236863566947406,0.18286439468492705,0.179916606472021,-0.0024520291974530484,-0.002947788212906033,0.8236790899565933,0.807663523424637,0.032684329432569936
1.0,0.8,0,0.5145671600243754,0.9414085486857977,0.19709464410964747,0.18330431433762032,0.1808274903774409,-0.01626715373220658,-0.002476823960179425,0.821882951653944,0.8048196377787756,0.009123609492202811
1.0,0.8,1,0.5279250302860137,0.9429594383935035,0.26039731327876886,0.1876193148060539,0.2175966196348701,-0.04280069364389877,0.029977304828816193,0.8214339170782817,0.8003292920221524,0.020542173012597614
1.0,0.8,2,0.5338424731984994,0.9400651116886606,0.19024963778306303,0.19075547689470107,0.16369107495530788,-0.02655856282775515,-0.02706440193939319,0.8275707229456668,0.8094596617272863,0.023586309216503065
