arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,people_share_levelling_down,lost_per_gained
baseline,0.841,0.1774,0.1062,0.7923,14492.2,,,
expgrad_dp,0.8083,0.0103,0.1485,0.9878,15109.0,4.256,0.4316,0.4964
expgrad_dp_floor,0.8083,0.0088,0.1492,0.9896,15133.2,4.4232,0.4261,0.485
group_thresholds,0.8237,0.0054,0.2028,1.002,14614.2,0.8417,0.4478,0.8152
minimax,0.8253,0.1567,0.0512,0.7959,13041.6,-10.0097,0.9823,46.7144
