seed,arm,uses_attribute_at_predict,targets_parity,accuracy,dp_diff,eo_diff,disparate_impact,positives,floor_target,threshold_rate,minimax_worst_error,dp_closure,people_share_levelling_down,lost_per_gained,positives_pct_change
0,baseline,False,False,0.8414273766378589,0.18155707986065783,0.11784858386911007,0.7881009413424094,14521,0.8074367920470296,0.8200000000000001,0.199411331861663,,,,
0,expgrad_dp,False,True,0.8108725954836911,0.012352681889497674,0.14477037868443354,0.9854136614102134,15131,0.8074367920470296,0.8200000000000001,0.199411331861663,0.16920439797116016,0.425244177310293,0.49124270225187655,4.200812616211005
0,expgrad_dp_floor,False,True,0.8109841092835238,0.01193473856449434,0.14404495249654825,0.9859109381840453,15137,0.8074367920470296,0.8200000000000001,0.199411331861663,0.1696223412961635,0.4239700374531835,0.4892205638474295,4.242132084567179
0,group_thresholds,True,True,0.8263172567605241,0.007551143451936748,0.182700814989676,0.9908028458286319,14690,0.8074367920470296,0.8200000000000001,0.199411331861663,0.17400593640872108,0.42448614834673815,0.7375776397515528,1.1638316920322291
0,minimax,False,False,0.8267633119598551,0.1567997864093128,0.05572186703166371,0.7970484581875756,13126,0.8074367920470296,0.8200000000000001,0.199411331861663,0.02475729345134503,0.9775474956822107,35.875,-9.606776392810412
1,baseline,False,False,0.8413158628380262,0.18488929311687385,0.1182678519282252,0.7836984265580175,14469,0.8066959804999283,0.81,0.19646799116997793,,,,
1,expgrad_dp,False,True,0.807805965988291,0.013613835694387344,0.1387815341513139,0.9838871995472331,15090,0.8066959804999283,0.81,0.19646799116997793,0.1712754574224865,0.4283636363636364,0.5008038585209004,4.291934480613726
1,expgrad_dp_floor,False,True,0.8073599107889602,0.01035293681698013,0.14037758052421023,0.9877554040817614,15116,0.8066959804999283,0.81,0.19646799116997793,0.17453635629989372,0.425089605734767,0.4913522012578616,4.4716289999308865
1,group_thresholds,True,True,0.8232506272651241,0.006785681974020852,0.21061395308874392,1.0083429073798018,14619,0.8066959804999283,0.81,0.19646799116997793,0.1916749750908947,0.44,0.7857142857142857,1.036699149906697
1,minimax,False,False,0.8216894340674659,0.16203637327565845,0.06327467387089913,0.787996955592033,12953,0.8066959804999283,0.81,0.19646799116997793,0.022852919841215402,0.9829406986190089,51.53333333333333,-10.477572741723685
2,baseline,False,False,0.8417061611374408,0.1666143489768399,0.08149624861127652,0.8042848967424768,14492,0.807484586340391,0.81,0.19472038263428992,,,,
2,expgrad_dp,False,True,0.8087538332868692,0.007886600728270077,0.15762684490181467,0.9906806843552725,15141,0.807484586340391,0.81,0.19472038263428992,0.15872774824856983,0.42724458204334365,0.47020408163265304,4.478332873309412
2,expgrad_dp_floor,False,True,0.807805965988291,0.00499098797074693,0.16172164189939853,0.9941075716941186,15168,0.807484586340391,0.81,0.19472038263428992,0.16162336100609298,0.4213740458015267,0.4604948124501197,4.664642561413194
2,group_thresholds,True,True,0.8232506272651241,0.006696405619501911,0.21894004031716463,1.0083023422678845,14497,0.807484586340391,0.81,0.19472038263428992,0.17331075459634182,0.4979044425817267,0.991652754590985,0.03450179409329285
2,minimax,False,False,0.8205742960691386,0.14605445075123735,0.037989166461383006,0.8076942489166491,12941,0.807484586340391,0.81,0.19472038263428992,0.020559898225602558,0.9786223277909739,36.25,-10.702456527739443
3,baseline,False,False,0.8424310008363535,0.17456398637774106,0.10378325527116744,0.7956699450581123,14509,0.8090140037279548,0.8200000000000001,0.19665194996320823,,,,
3,expgrad_dp,False,True,0.8090883746863674,0.007713286255172758,0.16052854965335617,0.9908789891935803,15131,0.8090140037279548,0.8200000000000001,0.19665194996320823,0.1668507001225683,0.43745427944403803,0.5031948881789138,4.286994279412778
3,expgrad_dp_floor,False,True,0.8105380540841929,0.007261342898740142,0.1611571798431578,0.991408823783649,15125,0.8090140037279548,0.8200000000000001,0.19665194996320823,0.16730264347900092,0.4389173372348208,0.5056179775280899,4.245640636846096
3,group_thresholds,True,True,0.8253693894619459,0.004062688491615063,0.2145635560892024,1.004977046453325,14659,0.8090140037279548,0.8200000000000001,0.19665194996320823,0.17862667486935613,0.4353448275862069,0.7709923664122137,1.0338410641670688
3,minimax,False,False,0.8313911346529133,0.1559972045927559,0.04226939848900363,0.7972570838792533,13073,0.8090140037279548,0.8200000000000001,0.19665194996320823,0.018566781784985165,0.9853195164075993,47.32258064516129,-9.897305120959404
4,baseline,False,False,0.8381377195427934,0.1794553346938519,0.10981234083719837,0.7897220632484044,14470,0.8063853175930794,0.81,0.19655997056659308,,,,
4,expgrad_dp,False,True,0.8049066071926401,0.010171603316023181,0.14055485858811612,0.987918206529165,15052,0.8063853175930794,0.81,0.19655997056659308,0.1692837313778287,0.43994104642593956,0.5166112956810631,4.022114720110574
4,expgrad_dp_floor,False,True,0.8049066071926401,0.009494383479354052,0.13857217202062733,0.9887708298376923,15120,0.8063853175930794,0.81,0.19655997056659308,0.16996095121449784,0.42116950407105846,0.478330658105939,4.492052522460263
4,group_thresholds,True,True,0.8200724839698913,0.0018038609161700192,0.18710992708216084,0.9977862768050404,14606,0.8063853175930794,0.81,0.19655997056659308,0.17765147377768187,0.4413793103448276,0.7901234567901234,0.939875604699378
4,minimax,False,False,0.826149986060775,0.16264035481352823,0.05658433025054388,0.78973479886022,13115,0.8063853175930794,0.81,0.19655997056659308,0.016814979880323655,0.987072945521699,62.59090909090909,-9.364201796821009
