population,arm,n,base_rate_gap,eo_cost,group_auc,group_auc_min,pressure_over_separability
Adult,SEX,45222,0.198901432678815,0.1853192698059602,0.9021900020383398,0.8735465187262974,0.22046512622555356
VT,SEX,3767,0.1008099840304702,0.012905986209148233,0.7920615101903904,0.7571841591078776,0.12727544860277099
NM,SEX,8711,0.11582613599320335,0.0028800133455163996,0.8232617047716269,0.8148106173575902,0.14069175733776365
MS,SEX,13189,0.1769685968757625,0.08200961109669808,0.8059660841809633,0.7865101844270583,0.21957325543741837
WV,SEX,8103,0.18307739608426093,0.09517937650162013,0.7862066255212926,0.767693733348778,0.23286168055741308
WY,SEX,3064,0.23632976345548778,0.0913391557496361,0.7686262909902405,0.7411488075243534,0.30747030933721803
ND,SEX,4455,0.24164941514802313,0.11405644838867812,0.7728908707206824,0.7493281140453376,0.3126565784412708
UT,SEX,16337,0.278628099035948,-0.01901972971566927,0.8403531858628844,0.8245482973832309,0.33156071009577887
AL,SEX,22268,0.19568066070706883,0.0010931252044614666,0.8167805052786306,0.8037355481341244,0.23957557684400874
OR,SEX,21919,0.1309124289034208,0.022638202258557737,0.8334550984886935,0.8262162011519382,0.1570719636136424
VT,RAC1P,3767,0.11311525352729487,0.032747099883250065,0.7890440002529204,0.7651515151515151,0.14335734571334027
NM,RAC1P,8711,0.15093885524715733,-0.0777648144136344,0.8054011652324992,0.7852034063715726,0.18740829013276267
MS,RAC1P,13189,0.16194579227500455,-0.13448529218167635,0.8056622332523143,0.7928702147925386,0.2010095367400534
WV,RAC1P,8103,0.07158245201723462,-0.001722966993046834,0.8213307239727764,0.7932038834951456,0.08715423632393822
WY,RAC1P,3064,0.15482672474537187,-0.07174307174307169,0.7152677881078616,0.6274509803921569,0.21645980333455778
ND,RAC1P,4455,0.151358024691358,-0.10782997542567417,0.786253695449045,0.7279635258358663,0.19250532692875225
UT,RAC1P,16337,0.12819444650372766,-0.05566006665759946,0.840353601194455,0.7778474882226039,0.15254822056038753
AL,RAC1P,22268,0.15759025984602842,-0.12477793216507437,0.8207983798862961,0.8025088946141576,0.19199630957831465
OR,RAC1P,21919,0.099204703680213,-0.042319231926009636,0.8297961753342497,0.8152454780361758,0.11955309825361923
