population,arm,n,base_rate_gap,eo_cost,group_auc,group_auc_min,pressure_over_separability
Adult,SEX,45222,0.198901432678815,0.1853192698059602,0.902382277077697,0.8819673645019477,0.22041815063450007
WY,SEX,3064,0.23632976345548778,0.0913391557496361,0.7773644365107313,0.7486563654685925,0.30401411790366273
WY,RAC1P,3064,0.15482672474537187,-0.07174307174307169,0.699806856746195,0.6274509803921569,0.22124208022946568
