pop,method,n_test,churn,floor,ratio,exceeds
Adult·sex,expgrad_dp,13567,0.0920763617601533,0.01179332203139966,0.12816352079245874,False
Adult·sex,expgrad_eo,13567,0.05171371710768772,0.0318124861797007,0.6237725624002665,False
AL·sex,expgrad_dp,6681,0.09150326797385616,0.0066856259043057,0.0721369251778764,False
AL·sex,expgrad_eo,6681,0.030434565683779835,0.016464601107618534,0.5398770518976451,False
AL·race,expgrad_dp,6681,0.13825275657336722,0.06411215885845427,0.4639813523628216,False
AL·race,expgrad_eo,6681,0.08576560395150423,0.0147183555355984,0.1713216309057041,False
OR·sex,expgrad_dp,6576,0.06782238442822379,0.022607461476074564,0.3305126189949461,False
OR·sex,expgrad_eo,6576,0.0061334144363341,0.006082725060827233,0.9286027981680162,False
OR·race,expgrad_dp,6576,0.05003041362530406,0.013432684509326767,0.26831816796714786,False
OR·race,expgrad_eo,6576,0.017639902676398967,0.00010137875101376666,0.006172839506171598,False
UT·sex,expgrad_dp,4902,0.1731946144430844,0.0108119135046919,0.0621886204737423,False
UT·sex,expgrad_eo,4902,0.04984360125118994,0.017543859649122768,0.3531922519264287,False
UT·race,expgrad_dp,4902,0.07309941520467833,0.046783625730994094,0.6417552613749589,False
UT·race,expgrad_eo,4902,0.05297157622739016,0.0157758737930096,0.2472081140148358,False
MS·sex,expgrad_dp,3957,0.06781231572740291,0.018616797236963998,0.2734796075475048,False
MS·sex,expgrad_eo,3957,0.0221548311010024,0.013646702047005235,0.6253513927932506,False
MS·race,expgrad_dp,3957,0.12164097380170157,0.029483615533653366,0.24847525075747656,False
MS·race,expgrad_eo,3957,0.07505686125852917,0.029989048942801733,0.4010294552846132,False
WV·sex,expgrad_dp,2431,0.0802139037433155,0.017825311942958933,0.22149382973398257,False
WV·sex,expgrad_eo,2431,0.02509255450431917,0.008501302618949633,0.3798953948207662,False
WV·race,expgrad_dp,2431,0.02111613876319753,0.0101467160290689,0.5398757763975132,False
WV·race,expgrad_eo,2431,0.0131633072809543,0.0133004250651309,1.0075757575757571,True
NM·sex,expgrad_dp,2614,0.028436623310379966,0.0174700331548074,0.6052124183006526,False
NM·sex,expgrad_eo,2614,0.006758479979597001,0.0,0.0,False
NM·race,expgrad_dp,2614,0.1140015302218821,0.0673297628156082,0.5841830121835304,False
NM·race,expgrad_eo,2614,0.0545779137975006,0.018490181076256034,0.3794974028736906,False
ND·sex,expgrad_dp,1337,0.10620792819745696,0.028421839940164503,0.27680453391835463,False
ND·sex,expgrad_eo,1337,0.03739715781600594,0.05160807778608823,1.3693838163884262,True
ND·race,expgrad_dp,1337,0.08227374719521309,0.059087509349289434,0.7125571318714731,False
ND·race,expgrad_eo,1337,0.048616305160807734,0.04487658937920713,0.9045781022525207,False
VT·sex,expgrad_dp,1131,0.009431181844974934,0.0026525198938992,0.25,False
VT·sex,expgrad_eo,1131,0.0212201591511936,0.012673150604185066,0.35111989459815546,False
VT·race,expgrad_dp,1131,0.0459770114942528,0.053934571175950435,1.203505291005292,True
VT·race,expgrad_eo,1131,0.037724727379899736,0.04450338933097547,1.1700336700336698,True
WY·sex,expgrad_dp,920,0.12210144927536226,0.03985507246376807,0.33813071387822197,False
WY·sex,expgrad_eo,920,0.0271739130434782,0.04601449275362313,1.5651587301587309,True
WY·race,expgrad_dp,920,0.08297101449275356,0.0373188405797101,0.45263871930538574,False
WY·race,expgrad_eo,920,0.0376811594202898,0.03152173913043473,0.900890437475803,False
