method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1018,0.0143,0.0875,0.1569,0.8086,1.2554,-1.5748
expgrad_eo,0.0175,0.0008,0.0167,0.2064,0.84,0.9447,0.3256
gridsearch_dp,0.0968,0.0135,0.0833,0.1524,0.8296,1.2208,-1.4639
prejudice_remover,0.1558,0.0016,0.1542,0.0123,0.4956,0.6471,3.7739
adversarial_debiasing,0.0381,0.0964,-0.0583,1.5412,0.9925,8.0612,-27.9996
