arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.8095,0.1565,0.1574,0.5099,636.8,,,,
expgrad_dp,0.8008,0.0301,0.0537,0.8864,631.6,-0.7945,0.4965,0.5144,1.0693
expgrad_dp_floor,0.8008,0.0292,0.0658,0.8962,685.2,7.5773,0.3361,0.3606,0.5569
