population,n,group_ratio,n_runs,cross_flow,mean_abs_error,max_abs_error
MS,13189,1.0182096403978578,14,0.2680165881921675,0.054366731605048124,0.20520783564261824
VT,3767,1.0495103373231773,5,0.29238095238095235,0.06337068160597688,0.12142857142857189
NM,8711,1.0745415575136938,10,0.3978795066413662,0.10353404286615846,0.2867647058823527
AL,22268,1.0916776253992109,15,0.2727582763883399,0.04412051798051115,0.113999573833369
OR,21919,1.0947056574923548,15,0.29869400901528737,0.07842845678676524,0.20195056989542115
WV,8103,1.1223153483499215,13,0.25475765266055306,0.04402944211678294,0.1090909090909098
WY,3064,1.135191637630662,12,0.32998880358771576,0.0956244997864878,0.21428571428571366
UT,16337,1.1721845499268715,15,0.2719234396624009,0.06992096892246553,0.16489159376188667
ND,4455,1.2443324937027709,14,0.31564149830809357,0.0933690904038043,0.24584040747028868
Adult,45222,2.077373256209595,25,0.04527833891214891,0.013660353303370334,0.0682838089782053
