seed,method,accuracy,dp_diff,eo_diff,baseline_accuracy,baseline_dp_diff,baseline_eo_diff,n_priv,n_unpriv,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change,population,group_ratio,base_rate_gap,leakage_auc,n_total
0,expgrad_dp,0.8302498710105403,0.028242673627486,0.2605439017143909,0.8451389400751824,0.1866977951301837,0.0897554994832138,9158,4409,0.1584551215026977,0.0933609958506224,0.0650941256520753,0.5891951927160204,mixed,0.3502994011976048,0.4757834757834758,mixed,884,29,0,287,9.96942563878576,6.50941256520753,0.7549103330486764,2.79746835443038,-568.0,0.0884499152354979,0.008329033684676,0.0941666666666666,-568,-20.314735336194563,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
0,expgrad_eo,0.8348934915604039,0.1147689925870325,0.021338465780291,0.8451389400751824,0.1866977951301837,0.0897554994832138,9158,4409,0.0719288025431512,0.0345053505132124,0.0374234520299387,0.4797153475829404,mixed,0.0834996673320026,0.6653386454183271,mixed,353,37,27,192,4.258571740554706,4.96711272397369,0.6477064220183486,1.6593886462882097,-151.0,0.0448883319820151,0.038328296602049,0.8538587848932677,-151,-5.400572246065808,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
0,gridsearch_dp,0.8258273752487654,0.0005354203375325,0.3134966963347937,0.8451389400751824,0.1866977951301837,0.0897554994832138,9158,4409,0.1872332154677162,0.1087573706049356,0.0784758448627806,0.5808657952770571,mixed,0.4032521958180075,0.485223310642537,mixed,1027,31,0,346,11.552740773094564,7.847584486278068,0.7479970866715222,2.7241379310344827,-650.0,0.1034864008255325,0.0,0.0,-650,-23.24749642346209,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
0,prejudice_remover,0.8348197832977077,0.0717866941247803,0.1665620540888872,0.8451389400751824,0.1866977951301837,0.0897554994832138,9158,4409,0.1149111010054034,0.0579820921598602,0.0569290088455431,0.5045821652786511,mixed,0.256317553572101,0.3925947693211871,mixed,534,3,1,252,5.863725704302249,5.73826264459061,0.6793893129770993,2.0980392156862746,-280.0,0.0582295275300361,0.0,0.0,-280,-10.014306151645208,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
0,adversarial_debiasing,0.8267118744011204,0.0250160101057957,0.2376839612180252,0.8451389400751824,0.1866977951301837,0.0897554994832138,9158,4409,0.161681785024388,0.0832059401616073,0.0784758448627806,0.514627792790985,mixed,0.327439460701239,0.4513773074932429,mixed,845,83,0,346,10.133216859576327,7.847584486278068,0.709487825356843,1.9696969696969695,-416.0,0.0939043266750202,0.0,0.0,-416,-14.878397711015737,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
1,expgrad_dp,0.8275963735534754,0.0169535739375637,0.2822070743209597,0.844696690499005,0.1975512079438457,0.1457922728965548,9158,4409,0.1805976340062819,0.1014413627429569,0.079156271263325,0.5616981822664875,mixed,0.4279993472175146,0.431043585381592,mixed,949,20,0,349,10.58091286307054,7.915627126332501,0.7311248073959938,2.5718157181571817,-580.0,0.0971474902336552,0.0090661163116385,0.0933232169954476,-580,-21.323529411764707,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
1,expgrad_eo,0.8372521559666839,0.1138460060872331,0.024717648221678,0.844696690499005,0.1975512079438457,0.1457922728965548,9158,4409,0.0837052018566125,0.0437868530246778,0.0399183488319346,0.5231079079133576,mixed,0.1531151533411163,0.4655243092563744,mixed,426,25,52,228,4.92465603843634,6.350646405080517,0.6513761467889908,1.8893280632411067,-225.0,0.0538807400309574,0.0288936389769293,0.5362517099863201,-225,-8.272058823529411,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
1,gridsearch_dp,0.8231738777917005,0.0088173345126664,0.322384580942936,0.844696690499005,0.1975512079438457,0.1457922728965548,9158,4409,0.2063685424565121,0.1154182135837519,0.0909503288727602,0.5592820117342927,mixed,0.4681768538394908,0.4500261432650926,mixed,1083,26,0,401,12.109630923782484,9.095032887276028,0.7297843665768194,2.5362997658079625,-656.0,0.1112994766713348,0.0,0.0,-656,-24.11764705882353,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
1,prejudice_remover,0.8357779907127589,0.0686371772958793,0.1633211564292798,0.844696690499005,0.1975512079438457,0.1457922728965548,9158,4409,0.1289140306479663,0.0624590521948023,0.0664549784531639,0.4845015851328335,mixed,0.3091134293258346,0.3413653531155664,mixed,574,2,1,294,6.28958287835772,6.690859605352688,0.6612903225806451,1.9425675675675675,-279.0,0.0641998968084322,0.0,0.0,-279,-10.257352941176473,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
1,adversarial_debiasing,0.8257536669860691,0.0263184642225834,0.2395837256305,0.844696690499005,0.1975512079438457,0.1457922728965548,9158,4409,0.1712327437212622,0.0854990172526752,0.0857337264685869,0.4993146485572475,mixed,0.3853759985270548,0.4043715253648367,mixed,855,72,0,378,10.122297444856956,8.573372646858697,0.6934306569343066,1.9,-405.0,0.0961892828186039,0.0,0.0,-405,-14.889705882352942,Adult,2.077373256209595,0.198901432678815,0.9363926384768276,45222
