population,base_rate_gap,baseline_eo,mitigated_eo,eo_cost,eo_cost_per_dp_point
VT,0.1008099840304702,0.047869197085948965,0.0607751832950972,0.012905986209148233,8.808353834436447
NM,0.11582613599320335,0.026988593385979198,0.029868606731495603,0.0028800133455163996,0.048050671322210636
OR,0.1309124289034208,0.0342843446699262,0.05692254692848394,0.022638202258557737,0.3145905348810793
MS,0.1769685968757625,0.03113133073419073,0.1131409418308888,0.08200961109669808,0.9506563362577274
WV,0.18307739608426093,0.041915450283928235,0.13709482678554838,0.09517937650162013,1.0393941925158992
AL,0.19568066070706883,0.0821901106184496,0.08328323582291107,0.0010931252044614666,0.017089678053472567
Adult,0.198901432678815,0.09487798767070064,0.28019725747666085,0.18531926980596022,1.1052853885899916
WY,0.23632976345548778,0.08854439592430853,0.17988355167394462,0.0913391557496361,0.7623578980621543
ND,0.24164941514802313,0.0508252825901751,0.16488173097885325,0.11405644838867812,0.9495069214271513
UT,0.278628099035948,0.11580893495787108,0.0967892052422018,-0.01901972971566927,-0.10872147540294048
