population,leakage_auc,n
Adult,0.9363926384768276,45222
ND,0.844361646242607,4455
MS,0.8315815721192513,13189
AL,0.8075322797495088,22268
WY,0.7982007885784237,3064
WV,0.7934718534163684,8103
NM,0.7793627347541676,8711
UT,0.7747762265348803,16337
VT,0.7646710970939401,3767
OR,0.7604324711414481,21919
