method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,seed
decision_tree,0.8468357959297463,0.14993253992813005,0.08386611917109998,0.8235368439640199,0
decision_tree,0.8428212991357681,0.1532307531529169,0.07755480257694874,0.8190775988208712,1
decision_tree,0.8443267354335099,0.15203845628281454,0.08932965508540613,0.8269938676942963,2
decision_tree,0.8437134095344299,0.14457754306169457,0.09647842020230357,0.8382972652327669,3
decision_tree,0.8429885698355172,0.15518516485019518,0.07682937638906334,0.8168677112398941,4
logistic_regression,0.8414273766378589,0.18155707986065783,0.11784858386911007,0.7881009413424094,0
logistic_regression,0.8413158628380262,0.18488929311687385,0.1182678519282252,0.7836984265580175,1
logistic_regression,0.8417061611374408,0.1666143489768399,0.08149624861127652,0.8042848967424768,2
logistic_regression,0.8424310008363535,0.17456398637774106,0.10378325527116744,0.7956699450581123,3
logistic_regression,0.8381377195427934,0.1794553346938519,0.10981234083719837,0.7897220632484044,4
