,accuracy,accuracy,demographic_parity_diff,demographic_parity_diff,equalized_odds_diff,equalized_odds_diff,disparate_impact,disparate_impact
,mean,std,mean,std,mean,std,mean,std
method,,,,,,,,
decision_tree,0.8441,0.0016,0.151,0.0041,0.0848,0.0083,0.825,0.0084
logistic_regression,0.841,0.0017,0.1774,0.0071,0.1062,0.0151,0.7923,0.008
