method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1671,0.009,0.1581,0.0536,0.4316,0.4964,4.256
expgrad_eo,0.0636,0.0097,0.0539,0.153,0.4708,0.6822,0.8391
gridsearch_dp,0.1757,0.0085,0.1672,0.0474,0.4277,0.4878,4.5998
prejudice_remover,0.115,0.0173,0.0977,0.1508,0.3576,0.5365,1.5541
adversarial_debiasing,0.1139,0.0171,0.0968,0.1504,0.4906,0.6917,1.5427
