strength,leakage_auc,synth_baseline,synth_mitigated,excess,baseline_accuracy,mitigated_accuracy,mitigated_dp
0.5,0.7979,0.0174,0.013,-0.0045,0.7511,0.7391,0.0655
1.0,0.9408,0.09,0.0261,-0.0639,0.7707,0.7424,0.0837
