arm,accuracy,sex_dp_gap,intersectional_gap_all,intersectional_gap_reliable,gap_inflation,worst_subgroup_rate,worst_subgroup_mode
baseline,0.7951,0.1001,0.5376,0.2692,0.2684,0.2539,Male x Two-or-more
expgrad_dp_sex,0.781,0.0233,0.5242,0.2853,0.2389,0.222,Male x Two-or-more
expgrad_dp_intersectional,0.7665,0.0277,0.5153,0.0689,0.4464,0.3093,Female x Asian
