population,arm,n_test,dp_base,dp_plain,dp_floor,pie_plain,pie_floor,pie_floor_sd,exchange_plain,exchange_floor,acc_base,acc_plain,acc_floor,extra_cost_pts
AL,sex,6681.0,0.12928163808718632,0.0218212956290463,0.02043699659833216,-2.341217914686358,4.259191250612824,4.107279404469313,1.1440306359516454,0.8019063437815902,0.7880257446490047,0.7746744499326448,0.7748241281245323,-0.014967819188749232
OR,sex,6576.0,0.0965989189028866,0.02415466065562828,0.023517643831147163,-3.1358136409991957,1.351629001836917,4.36730020891427,1.392520250484122,0.9331022802451281,0.7947384428223845,0.780778588807786,0.7802007299270073,0.05778588807786589
UT,sex,4902.0,0.22006651853129894,0.03156948389090688,0.030416842204006322,-13.396122563766792,0.6767730034321418,2.066827015249871,1.636512434570531,0.9809187745618658,0.8128518971848224,0.7484292125662995,0.7440636474908201,0.43655650754793607
MS,sex,3957.0,0.09836051501268724,0.0142765387991689,0.01445200446788524,-6.575978111382872,0.07170391182558929,4.244587539094155,1.4720964749536178,1.013453331881753,0.8019711902956785,0.79236795552186,0.7924690422036896,-0.010108668182962077
WV,sex,2431.0,0.11360204282599981,0.01781306240534608,0.021790732578592382,-4.664635921780301,5.775893513892699,6.50694671376082,1.307054393325003,0.7807946984417573,0.7897984368572604,0.7807486631016043,0.7785273549979432,0.2221308103661057
NM,sex,2614.0,0.06846732784694373,0.029688166748727977,0.02669902229724972,-1.632034592723689,4.034155854837445,4.921113839987668,1.2470097300515337,0.6693155246300926,0.802142310635042,0.8019127773527162,0.8009181331293037,0.09946442234124442
ND,sex,1337.0,0.15206414332164947,0.01785089983606404,0.0165498283654412,-3.364164575330142,0.8751225012080386,3.6236818218138542,1.242555767852401,0.9654163666929151,0.7533283470456246,0.7347793567688855,0.7332834704562453,0.14958863126401933
VT,sex,1131.0,0.01245400615754294,0.01183637455883452,0.01493579635052936,0.28862554059448753,3.323197065713871,6.6908873504210415,0.8419191919191921,0.7246031746031746,0.7642793987621574,0.764102564102564,0.7626878868258179,0.14146772767461568
WY,sex,920.0,0.15415521994315778,0.028686793921018715,0.03400376733615166,-8.413703099676354,1.4010931453778006,4.166723288473271,1.7100602656717208,0.9453982659793798,0.7523913043478261,0.7206521739130435,0.7230434782608696,-0.23913043478260843
Adult,sex,13567.0,0.18614682657636444,0.01784010955375228,0.01792538946449096,-20.452433033564695,-0.6170114381955455,0.9150866188295876,2.6824711712943796,1.0306444299373272,0.846878455074814,0.8282450062652023,0.8244858848676937,0.3759121397508558
AL,rac1p,6681.0,0.13691622448966986,0.021540689956644578,0.02239142326865628,-15.210016129378905,1.3192424576267148,1.0229648107058842,1.807995551639906,0.9522887693870563,0.7972459212692711,0.752372399341416,0.752073042957641,0.029935638377498464
OR,rac1p,6576.0,0.10291536442645913,0.01493306308157864,0.01590280386195424,-2.887101932854636,1.2849780472122148,0.3010638621612329,1.5106595175683792,0.8448850903044656,0.7887165450121654,0.7824817518248175,0.7829987834549879,-0.05170316301703615
UT,rac1p,4902.0,0.13454730547668414,0.0215003286408873,0.01799234720411806,-0.7958281789806682,3.2795415493995153,5.142148148963514,1.0956485006130932,0.7878665207341677,0.8164014687882496,0.7991024071807425,0.8009791921664627,-0.18767849857201924
MS,rac1p,3957.0,0.14736123259520953,0.021595854320758577,0.02493587821099776,-28.046023962257845,0.0015740695622129762,3.948237327532043,2.651015544146727,1.0073762129707204,0.8018701036138489,0.7638615112458933,0.7609805408137478,0.28809704321455243
WV,rac1p,2431.0,0.057083963171636644,0.026445356210369243,0.029513077733498184,-2.5292858675198433,3.0796497787084967,3.1301247365299596,1.6763666072489602,0.6361612576519409,0.8018922254216372,0.7977786918963389,0.795475113122172,0.230357877416687
NM,rac1p,2614.0,0.12061295283052602,0.0237626506454958,0.022679969960304643,-10.914039141733914,3.932615179406555,2.8018700752293477,1.5966654813620282,0.856786787658395,0.7971690895179802,0.7637337413925019,0.7623565416985463,0.13771996939556663
ND,rac1p,1337.0,0.1815934696080415,0.08709572960939076,0.08357552452270119,-2.5686267853970604,4.147795279401222,9.070306437838477,1.249516204264621,0.8584408184408184,0.7579655946148093,0.7350785340314137,0.7319371727748691,0.3141361256544517
VT,rac1p,1131.0,0.1041552667578659,0.025713919288645637,0.0253163474692202,-3.3325002596256197,5.486773006657733,2.9235503852188476,1.5681604010025063,0.4760232789638149,0.7791335101679928,0.7619805481874448,0.7587975243147657,0.31830238726791027
WY,rac1p,920.0,0.1233333333333333,0.03523809523809522,0.051547619047619044,-0.260809521327275,5.346464145156946,3.9092984517562526,1.1377100632833435,0.6871717673007995,0.7665217391304348,0.7421739130434782,0.7395652173913044,0.2608695652173809
