n,markets,rule,constant,dwelling,survey,separating,rule_down,floor,rate_lo,rate_hi,scoring
8,6,5,6,4,6,1,5,6,0.3672045028142589,0.9425347934484174,guarded
10,7,7,8,5,8,2,5,8,0.3672045028142589,0.9425347934484174,unguarded
