method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.1891,0.1308,0.0583,0.6935,0.6311,1.6776,-14.2022
expgrad_eo,0.0488,0.0226,0.0263,0.4679,0.5222,1.0054,-0.0182
gridsearch_dp,0.1819,0.129,0.0529,0.7268,0.6469,1.8226,-14.7054
prejudice_remover,0.1201,0.0643,0.0558,0.535,0.5531,1.2723,-2.9153
adversarial_debiasing,0.1393,0.0953,0.044,0.6882,0.6171,1.5586,-10.1016
