arm,accuracy,sex_dp_gap,intersectional_gap_all,intersectional_gap_reliable,gap_inflation,worst_subgroup_rate,worst_subgroup_mode
baseline,0.8117,0.2196,0.4628,0.2356,0.2272,0.1978,Female x White
expgrad_dp_sex,0.7489,0.0329,0.4427,0.0342,0.4085,0.2601,Female x White
expgrad_dp_intersectional,0.7324,0.0357,0.4619,0.0379,0.424,0.2258,Female x White
