,share_given_up,pct_of_all_given_up
marital-status,-0.0693544685423863,44.85604928962544
capital-gain,-0.04688100590774699,30.320998141019928
age,-0.012525991109453308,8.101373803530196
native-country,-0.0100961845167033,6.5298597168489545
hours-per-week,-0.006955803391451,4.498770826643759
race,-0.004595880717152401,2.9724552189717346
workclass,-0.004206307720126201,2.7204930033599957
