pop,rate,pie,A_max_q,B_max_q,A_min_q,B_min_q,A_med,B_med,obs,zeta_rule,med_rule,rate_rule
adult,0.20526276995651213,-20.452433033564695,0.2987421011062193,1.2340509119837981,-1.0422638031753177,-0.04359099193992595,-0.14554412317412363,0.2848744850058014,down,down,down,down
acs_income_al_2018,0.2517587187546774,-2.341217914686358,0.6445674018272708,3.2302821547533473,-2.774201909757452,-0.3913174339453152,-0.21056147631833153,0.29437315773406486,down,down,down,down
acs_income_or_2018,0.35346715328467154,-3.1358136409991957,1.3348658060048864,3.2978577781853406,-2.915933463348823,-0.9867831171895732,-0.1416683884213884,0.29848715914282986,down,down,down,down
acs_income_ut_2018,0.30669114647082824,-13.396122563766792,0.6435385408190745,3.454818326062401,-2.513808269998571,-0.24014091329477738,-0.033945481850128925,0.36560267616147907,down,down,down,down
acs_income_ms_2018,0.19454131918119785,-6.575978111382872,0.5018038161179706,3.179962351618097,-2.989212430747584,-0.23442146633750402,-0.2323823112619635,0.3043793770912551,down,down,down,down
acs_income_wv_2018,0.2211435623200329,-4.664635921780301,0.599018747092483,3.5562420677102846,-2.969500127030036,-0.3620307449791519,-0.27713922857825063,0.32733385023659717,down,down,down,down
acs_income_nm_2018,0.2449885233358837,-1.632034592723689,0.7049146641465426,3.840266609830767,-4.65402059252414,-0.6170411131433022,-0.2935246807711022,0.3502040352959186,down,down,down,down
acs_income_nd_2018,0.34166043380703065,-3.364164575330142,0.5372428506339829,1.966615146638568,-1.6042602715822782,-0.47751125062034905,-0.10084086056587789,0.20725336414562406,down,down,down,down
acs_income_vt_2018,0.2976127320954907,0.28862554059448753,0.9109551104098391,2.5636220378452075,-2.0517719540424135,-0.7911869384089694,-0.19404441943033313,0.23222891579211635,up,down,down,down
acs_income_wy_2018,0.3408695652173913,-8.413703099676354,0.7020228104379436,3.0224675028917267,-1.9731485976587815,-0.4226123965698243,0.011461125857957097,0.26972051395079955,down,down,down,down
acs_income_ky_2018,0.26031505604362315,-1.5943651589775842,0.8946999049319679,3.3206936032304375,-2.8281440912020903,-0.4281117622975359,-0.2429959595424339,0.2866600792043469,down,down,down,down
acs_income_sc_2018,0.2557877813504823,-3.376219568409475,0.6269527807691619,3.631793700378955,-3.199577837884994,-0.3473345844389327,-0.22486423285605284,0.30332827683113384,down,down,down,down
acs_income_ct_2018,0.5078840970350404,0.5588629340526562,2.2020038682408183,2.3127527727724746,-1.7952162875864184,-1.9441866207832452,0.18856341493309098,0.13430079757176966,up,down,up,up
acs_income_al_2018_t20000,0.7598862445741655,0.8026578427732682,3.492164683953202,0.9345603923021054,-0.5033370601795544,-3.9704131201764183,0.4308791542880192,-0.22448573528272064,up,up,up,up
acs_income_al_2018_t30000,0.597485406376291,0.9765151931892889,2.0048282659824883,1.5819001608996357,-0.9766823701066446,-2.324445069677346,0.2610306470349708,0.002409361963816091,up,up,up,up
acs_income_al_2018_t70000,0.09914683430624158,-22.047486593476386,0.28810498298560844,5.396548502184299,-4.063991408187025,0.09230181300755817,-0.36279863924218947,0.40221855186898414,down,down,down,down
acs_income_al_2018_t100000,0.029456668163448586,-29.708116686831556,0.004895826524516672,7.271982106360867,-5.167786212959126,0.25113238327173654,-0.5130110092776152,0.4868486834325355,down,down,down,down
acs_income_or_2018_t20000,0.7876824817518249,1.0351098002289372,5.269260544145003,0.8876065032246466,-0.5803150644960073,-6.706098485747537,0.6011117500202919,-0.287731885744764,up,up,up,up
acs_income_or_2018_t30000,0.6371046228710463,1.1789428362205647,3.9988812977730106,1.4779229443611874,-1.3065700547646257,-4.002133277566975,0.38825677304862516,-0.08030990409676549,up,up,up,up
acs_income_or_2018_t70000,0.1541970802919708,-7.3031473063883094,0.35870025513727577,5.615080270382459,-4.547393969852474,-0.12104369126904392,-0.4264518217978005,0.44338873755159836,down,down,down,down
acs_income_ky_2018_t20000,0.7654650106028477,0.2766200528261827,4.540188490872675,0.9109930940698017,-0.5918260779651994,-3.9634937224730344,0.47456934839124426,-0.26757097487892917,up,up,up,up
acs_income_ky_2018_t70000,0.09142684035140866,-15.739301465989849,0.283042089171569,5.622461622748685,-4.934789597070842,0.12750327672643805,-0.43673923738502696,0.44339367626600035,down,down,down,down
hmda_ms_2018_race,0.8080401449679399,4.256037793931499,2.1834565958749477,0.6869565555848905,-0.41573646062541486,-3.2223631889333006,0.41764447689264406,-0.13677764924371955,up,up,up,up
hmda_ms_2018_sex,0.7580756013745705,1.045912884324895,7.815503393615867,1.3069420479432285,-1.1407861579455563,-6.26747981103125,0.7006100787096263,-0.428937312321626,up,up,up,up
hmda_la_2018_race,0.7937195533238403,2.246370990112247,1.7666067705398472,0.7989056238195844,-0.4836317584922101,-2.8091722642740087,0.41034465794116,-0.09394132778583536,up,up,up,up
hmda_la_2018_sex,0.7417954583496067,0.32236181163732935,5.989713074281791,1.5825045806785876,-1.2532719265070758,-6.67339534169199,0.5897908803209921,-0.3749437303988936,up,up,up,up
