population,rate,pie,sep,obs,zeta_call,rate_call
acs_income_ga_2018_t10000,0.9051609383524277,0.30098366653489783,5.325069995495659,up,up,up
acs_income_nc_2018_t20000,0.7875082687834754,0.1608342195537545,3.548109348106601,up,up,up
acs_income_mi_2018_t30000,0.6113221800084429,0.8541336048743245,1.103555640329312,up,up,up
acs_income_tn_2018,0.25912492239322943,-1.6771068792347545,-2.973785022698116,down,down,down
acs_income_in_2018_t70000,0.0807398242441547,-23.32106573724757,-5.07198080255066,down,down,down
acs_income_az_2018_t100000,0.0373931623931624,-23.342771760487903,-8.161032864091927,down,down,down
acs_income_mo_2018_t100000,0.025122807017543863,-16.483333389382274,-7.0826305055546825,down,down,down
acs_income_md_2018,0.5114496116211036,0.7755616178491872,-0.19769044303521058,up,down,up
taiwan_2005_sex,0.8853703703703704,0.6758059114052051,12.742317721394206,up,up,up
acs_income_ia_2018_t10000,0.8965063861758077,0.04209626945885334,5.051051348286303,up,up,up
acs_income_wi_2018_t20000,0.8126168383127698,0.6858705714092833,5.358421142566534,up,up,up
acs_income_ks_2018_t20000,0.7708904350270575,0.5824721108177404,2.956292294024152,up,up,up
acs_income_co_2018_t30000,0.7033645655877342,0.6320148627277464,3.1307706227368115,up,up,up
acs_income_mn_2018_t30000,0.7003330826259804,-0.03663201089005978,3.116330386543295,down,up,up
acs_income_nv_2018,0.29417060544677026,-1.5705040139001027,-3.266266230206887,down,down,down
acs_income_ok_2018,0.22172619047619047,-12.779555949367724,-3.0576484695694397,down,down,down
acs_income_ar_2018,0.19414532982372176,-2.5472928537571287,-3.1917545413537343,down,down,down
acs_income_wa_2018_t70000,0.233338896306186,-5.522445872388741,-3.2146803919858296,down,down,down
acs_income_ne_2018_t100000,0.013906056860321384,-6.349390919158362,-6.1111634545966815,down,down,down
