population,rate,pie,sep,obs,zeta_call,rate_call
acs_income_nv_2014,0.22937458416500334,-5.733917744061453,-3.6563577956552167,down,down,down
acs_income_nv_2018,0.29417060544677026,-1.5705040139001027,-3.266266230206887,down,down,down
acs_income_nv_2019,0.3193296089385475,0.4556781662090266,-3.061881988143266,up,down,down
acs_income_nv_2022,0.407671272308578,0.23824004366883153,-1.5061987317457275,up,down,down
acs_income_nv_2022_t58275,0.31872481289579735,0.8592924014386168,-2.618432754737417,up,down,down
acs_income_nv_2022_t60000,0.2764104778353483,0.9620081047983756,-3.3230037858183743,up,down,down
acs_income_ny_2014,0.33981119143949945,-1.3634156482854423,-2.1828783948695656,down,down,down
acs_income_ny_2018,0.4141456627948361,-0.5619374073151462,-1.256379099885534,down,down,down
acs_income_oh_2018,0.3080664485095577,-3.016236406136224,-2.495080596749277,down,down,down
acs_income_oh_2018_rac1p,0.3088174811794789,-8.172093593866368,-5.34650497367974,down,down,down
acs_income_oh_2019,0.33891542769219757,-2.614134337790575,-2.2758346070249,down,down,down
acs_income_oh_2022,0.42332920013657516,-1.864082958457906,-1.425310855800709,down,down,down
acs_income_oh_2022_t58275,0.3271515086168167,-1.7864095598734668,-2.957108260369252,down,down,down
acs_income_oh_2022_t60000,0.28682588459395836,-1.2353811876326541,-3.1830363498205863,down,down,down
acs_income_ok_2018,0.22172619047619047,-12.779555949367724,-3.0576484695694397,down,down,down
acs_income_or_2018,0.3553832116788321,-3.1358136409991957,-1.8071311940715724,down,down,down
acs_income_or_2018_rac1p,0.35330494728304945,-2.887101932854636,-6.128610247460621,down,down,down
acs_income_or_2018_rac1p_t100000,0.044302514193025146,-1.1684757878116718,-8.773035232336733,down,down,down
acs_income_or_2018_rac1p_t20000,0.7914132197891321,2.189038508362267,-0.4466056885051059,up,down,up
acs_income_or_2018_rac1p_t30000,0.6411192214111923,3.2932309582553003,-3.2005330897653352,up,down,up
acs_income_or_2018_rac1p_t70000,0.16372668288726683,-3.0550036838923824,-7.695047174675921,down,down,down
acs_income_or_2018_t100000,0.042781832927818335,-23.373157857383415,-8.03063082613766,down,down,down
acs_income_or_2018_t10000,0.9094180859691808,0.050264341177207274,6.497997131612581,up,up,up
acs_income_or_2018_t20000,0.7859894566098945,1.0351098002289372,4.39121213702651,up,up,up
acs_income_or_2018_t30000,0.6370133819951338,1.1789428362205647,2.091988965500858,up,up,up
acs_income_or_2018_t70000,0.1535381184103812,-7.303147306388309,-5.003333363295352,down,down,down
acs_income_pa_2018,0.33188568454268935,-4.205022227819443,-2.276127619418288,down,down,down
acs_income_sc_2018,0.25719006788138615,-3.376219568409475,-3.170060896918064,down,down,down
acs_income_sc_2018_t20000,0.7646927474097892,0.8562216577068659,3.3725395309855197,up,up,up
acs_income_sc_2018_t30000,0.5980260807431225,0.5304354756732939,0.7837072235977164,up,up,up
acs_income_sc_2018_t70000,0.10409967845659163,-13.676541594855086,-4.93741052637633,down,down,down
acs_income_sc_2022,0.35864768090598714,-0.4196212949719034,-1.7839975814093096,down,down,down
acs_income_sc_2022_t58275,0.2702556416021317,-2.3340141267928742,-2.8174945075289277,down,down,down
acs_income_sc_2022_t60000,0.232492297443584,-2.9971906774506554,-3.2309705457791704,down,down,down
acs_income_tn_2018,0.25912492239322943,-1.6771068792347545,-2.973785022698116,down,down,down
acs_income_tx_2014,0.279124685138539,-1.3661447171788061,-2.581031701568031,down,down,down
acs_income_tx_2018,0.3476057351186097,0.8634031831448917,-2.259151485492587,up,down,down
acs_income_tx_2018_rac1p,0.34568476466068304,-3.1953526669664734,-8.891933073171051,down,down,down
acs_income_ut_2018,0.3078335373317013,-13.39612256376679,-2.824945488344554,down,down,down
acs_income_ut_2018_rac1p,0.3140214878280974,-0.7958281789806682,-4.309546922532813,down,down,down
acs_income_ut_2018_rac1p_t100000,0.047667618659050726,-1.3329774285503355,-6.629885682403707,down,down,down
acs_income_ut_2018_rac1p_t20000,0.712906296749626,0.3081919157584735,-0.7750453002074917,up,down,up
acs_income_ut_2018_rac1p_t30000,0.5731674146606828,3.091778143735548,-1.9426315472403857,up,down,up
acs_income_ut_2018_rac1p_t70000,0.15021079831361348,-4.683195246994038,-4.940232479160724,down,down,down
acs_income_va_2014,0.37121212121212127,3.7754309434850697,-1.137087616016956,up,down,down
acs_income_va_2018,0.43838485986709036,2.997322779811866,-0.9962079392872295,up,down,down
acs_income_va_2018_rac1p,0.4352065876914186,-3.6002863452156055,-4.679526588882757,down,down,down
acs_income_vt_2018,0.29737695254936636,0.28862554059448753,-2.1184732325657105,up,down,down
acs_income_vt_2018_rac1p,0.28824049513704686,-3.3325002596256197,-4.020010765027624,down,down,down
acs_income_wa_2018_t70000,0.233338896306186,-5.522445872388741,-3.2146803919858296,down,down,down
acs_income_wi_2018_t20000,0.8126168383127698,0.6858705714092833,5.358421142566534,up,up,up
acs_income_wv_2018,0.22199369258192783,-4.664635921780301,-3.3805580244046163,down,down,down
acs_income_wv_2018_rac1p,0.23776223776223773,-2.5292858675198433,-7.926817182717248,down,down,down
acs_income_wy_2018,0.3521739130434782,-8.413703099676354,-1.8458111947845879,down,down,down
acs_income_wy_2018_rac1p,0.3293478260869565,-0.260809521327275,-3.513556597399917,down,down,down
adult,0.20549863639714014,-20.452433033564695,-0.9730897218427407,down,down,down
compas_2016_race,0.5892255892255892,20.004614653823396,1.2325201022389949,up,up,up
compas_2016_sex,0.6312095032397408,-5.122362579500438,1.717252823924473,down,up,up
dutch_2001_sex,0.43828386479826403,0.8767336240836127,-0.9904983582718789,up,down,down
hmda_al_2018_race,0.8230643167246486,1.4744223921856545,1.1075693974044063,up,up,up
hmda_ga_2018_race,0.835881513949767,-0.3547072259075037,1.2012608999122947,down,up,up
hmda_la_2018_race,0.7937994953658597,2.246370990112247,1.0516235528068694,up,up,up
hmda_la_2018_sex,0.7429373802748795,0.32236181163732935,4.864221450908816,up,up,up
hmda_ms_2018_race,0.8081405073877893,4.256037793931499,1.5621213760361747,up,up,up
hmda_ms_2018_sex,0.7581650043304556,1.045912884324895,6.106839457829018,up,up,up
hmda_ms_la_2018_race_cashout,0.771506219295495,2.2755636294273094,0.26512554407047784,up,up,up
hmda_ms_la_2018_race_improvement,0.5581815833656206,-1.573230258417673,-0.9643746693355727,down,down,up
hmda_ms_la_2018_race_other,0.6376312770276233,-1.4563932617383533,-0.7026135720638044,down,down,up
hmda_ms_la_2018_race_purchase,0.8182711198428291,7.409376639876679,1.9124125969777719,up,up,up
hmda_ms_la_2018_race_refinance,0.8722751157588055,2.952118942899324,1.0856176355767049,up,up,up
hmda_nc_2018_race,0.8725077259486981,2.4669922433834452,1.83356307998708,up,up,up
hmda_oh_2018_race,0.9039500570838515,0.4119401705814119,1.1540758016274582,up,up,up
hmda_sc_2018_race,0.8418224099177923,4.218366504391757,1.6293525138155098,up,up,up
hmda_tn_2018_race,0.8563561016394635,0.8414428610003636,0.8830427706467815,up,up,up
ipums_income_br_2000_race_t280_s60k,0.5585185185185185,2.2157800959088467,1.3458837811348288,up,up,up
ipums_income_br_2000_race_t380_s60k,0.31762962962962965,-36.173138760528204,-3.6793816274925972,down,down,down
ipums_income_br_2000_t253_s60k,0.5996111111111112,-0.7702084761980674,1.160019416422357,down,up,up
ipums_income_br_2000_t358_s60k,0.3453333333333333,0.06373956838038658,-1.6062337515922696,up,down,down
ipums_income_br_2000_t560_s60k,0.1718888888888889,0.32762092725936115,-4.222838082495251,up,down,down
ipums_income_br_2010_race_t600_s60k,0.5371666666666667,8.548019871827167,0.4537481918988398,up,up,up
ipums_income_br_2010_race_t800_s60k,0.29694444444444446,-31.21893372078181,-5.588178133709106,down,down,down
ipums_income_br_2010_t600_s60k,0.5383518518518519,-0.5014479264959413,0.8099009857470715,down,up,up
ipums_income_br_2010_t800_s60k,0.28424074074074074,-0.2852910468909915,-1.2783747072250817,down,down,down
ipums_income_mx_2015_t3600_s60k,0.5814074074074075,4.076357844314918,0.627883782545291,up,up,up
ipums_income_mx_2015_t4286_s60k,0.3010555555555556,0.35993965641672715,-2.307366415478123,up,down,down
ipums_income_mx_2020_t4300_s60k,0.5497592592592593,3.6027016828408462,1.4189598012707048,up,up,up
ipums_income_mx_2020_t5600_s60k,0.3119259259259259,-3.0665153547920885,-0.19887378472031925,down,down,down
ipums_income_mx_2020_t7740_s60k,0.1307962962962963,-2.081209904314578,-2.5846298230877944,down,down,down
lawschool_race,0.9541666666666666,3.808161395722633,2.7214454810112687,up,up,up
lawschool_sex,0.95491452991453,0.07739733257650509,14.895817710478845,up,up,up
taiwan_2005_sex,0.8853703703703704,0.6758059114052051,12.742317721394206,up,up,up
