population,rate,pie,sep,obs,zeta_call,rate_call
adult,0.20549863639714014,-20.452433033564695,-1.2360459120794698,down,down,down
acs_income_al_2018,0.25185850421593575,-2.341217914686358,-2.2609709897400765,down,down,down
acs_income_or_2018,0.3553832116788321,-3.1358136409991957,-1.853091061918428,down,down,down
acs_income_ut_2018,0.3078335373317013,-13.39612256376679,-2.733252660937538,down,down,down
acs_income_ms_2018,0.19240165108246987,-6.575978111382871,-2.13775409377068,down,down,down
acs_income_wv_2018,0.22199369258192783,-4.664635921780301,-2.5463740475255348,down,down,down
acs_income_nm_2018,0.24419790869676103,-1.632034592723689,-2.2745316030206304,down,down,down
acs_income_nd_2018,0.3385689354275742,-3.364164575330142,-0.9672798493882553,down,down,down
acs_income_vt_2018,0.29737695254936636,0.28862554059448753,-1.5628168532511777,up,down,down
acs_income_wy_2018,0.3521739130434782,-8.413703099676354,-1.129358443216007,down,down,down
acs_income_ky_2018,0.25860850247399775,-1.594365158977584,-2.0633976837837493,down,down,down
acs_income_sc_2018,0.25719006788138615,-3.376219568409475,-2.510583736552864,down,down,down
acs_income_ct_2018,0.5091531895777178,0.5588629340526562,-0.6523303245004156,up,down,up
acs_income_al_2018_t20000,0.7620116748989673,0.8026578427732683,2.361454111128964,up,up,up
acs_income_al_2018_t30000,0.5977648056678141,0.9765151931892889,0.12573136996250978,up,up,up
acs_income_al_2018_t70000,0.10083320860150675,-22.04748659347639,-4.538882793368681,down,down,down
acs_income_al_2018_t100000,0.03068402933692561,-29.708116686831556,-5.564213855699518,down,down,down
acs_income_or_2018_t20000,0.7859894566098945,1.0351098002289372,2.5199520736175995,up,up,up
acs_income_or_2018_t30000,0.6370133819951338,1.1789428362205647,0.7577276843124195,up,up,up
acs_income_or_2018_t70000,0.1535381184103812,-7.303147306388309,-3.754992733094761,down,down,down
acs_income_ky_2018_t20000,0.766535393315157,0.2766200528261827,3.1311962036368777,up,up,up
acs_income_ky_2018_t70000,0.09098253054629911,-15.739301465989849,-5.200823509951321,down,down,down
hmda_ms_2018_race,0.8081405073877893,4.256037793931499,1.3859295862996095,up,up,up
hmda_ms_2018_sex,0.7581650043304556,1.045912884324895,3.9006782599176915,up,up,up
hmda_la_2018_race,0.7937994953658597,2.246370990112247,1.132158534376389,up,up,up
hmda_la_2018_sex,0.7429373802748795,0.32236181163732935,3.187359158291606,up,up,up
