population,verdict,arms,advisory,kept,spread,signs,r0,observed,agrees,bracket,n_test
acs_income_in_2014_t30000,NON-MONOTONE,11.0,0.0,11.0,3.55,++++------+,0.553,down,,,
acs_income_ks_2018_rac1p,WITHDRAWAL,13.0,0.0,7.0,17.16,-----++,0.275,down,True,0.374-0.439,
acs_income_ks_2019,WITHDRAWAL,13.0,1.0,8.0,2.38,--------,0.297,down,True,,
acs_income_ky_2014,VOID (flat),13.0,1.0,7.0,1.64,-------,,,,,
acs_income_ky_2018,WITHDRAWAL,18.0,0.0,12.0,2.63,------------,0.26,down,True,,
acs_income_ky_2018_rac1p,WITHDRAWAL,13.0,0.0,7.0,27.42,----+++,0.263,down,True,0.295-0.367,
acs_income_la_2018,WITHDRAWAL,9.0,0.0,9.0,8.67,---------,0.291,down,True,,
acs_income_ma_2018,NON-MONOTONE,7.0,0.0,7.0,3.88,+++++-+,0.492,up,,,
acs_income_ma_2018_rac1p,WITHDRAWAL,13.0,0.0,12.0,15.59,-------+++++,0.487,down,True,0.515-0.571,
acs_income_ma_2019_rac1p,WITHDRAWAL,13.0,0.0,12.0,14.13,------++++++,0.529,down,True,0.529-0.555,
acs_income_md_2018,EXTENSION,11.0,0.0,10.0,13.48,-+++++++++,0.508,up,True,0.151-0.293,
acs_income_md_2019,NON-MONOTONE,13.0,0.0,9.0,9.73,+-+++++++,0.546,up,,,
acs_income_me_2019_rac1p,REFUSED (noise floor),13.0,,,,,,,,,2132.0
acs_income_mn_2014,WITHDRAWAL,13.0,0.0,8.0,2.49,--------,0.266,down,True,,
acs_income_mo_2014_t30000,NON-MONOTONE,11.0,0.0,10.0,46.28,++++------,0.555,down,,,
acs_income_ms_2019_rac1p,WITHDRAWAL,13.0,0.0,8.0,58.01,------++,0.221,down,True,0.321-0.390,
acs_income_mt_2019,REFUSED (noise floor),13.0,,,,,,,,,1665.0
acs_income_nc_2018,WITHDRAWAL,13.0,1.0,8.0,2.52,--------,0.288,down,True,,
acs_income_nc_2019_rac1p,WITHDRAWAL,13.0,0.0,10.0,66.22,------++++,0.315,down,True,0.349-0.420,
acs_income_nd_2018,REFUSED (noise floor),13.0,,,,,,,,,1337.0
acs_income_nh_2014_rac1p,REFUSED (noise floor),13.0,,,,,,,,,2337.0
acs_income_nj_2018,EXTENSION,7.0,0.0,7.0,2.63,+++++++,0.517,up,True,,
acs_income_nj_2018_rac1p,WITHDRAWAL,19.0,0.0,18.0,13.54,------------++++++,0.518,down,True,0.601-0.623,
acs_income_nv_2014,WITHDRAWAL,8.0,0.0,8.0,9.63,-----+++,0.232,down,True,0.379-0.420,
acs_income_nv_2019,VOID (flat),9.0,0.0,6.0,1.34,-+++-+,,,,,
acs_income_nv_2022,VOID (too few arms),8.0,0.0,3.0,,,,,,,
acs_income_nv_2022_t60000,VOID (flat),9.0,0.0,5.0,1.6,++++-,,,,,
acs_income_ny_2014,WITHDRAWAL,10.0,0.0,10.0,4.36,--------++,0.339,down,True,0.570-0.626,
acs_income_ny_2018,VOID (flat),8.0,0.0,8.0,1.93,++-----+,,,,,
acs_income_oh_2018,WITHDRAWAL,9.0,0.0,9.0,8.28,-------++,0.308,down,True,0.528-0.585,
acs_income_oh_2018_rac1p,WITHDRAWAL,21.0,0.0,16.0,49.93,--------++++++++,0.309,down,True,0.380-0.410,
acs_income_oh_2019,NON-MONOTONE,22.0,0.0,19.0,8.11,++--------------+++,0.337,down,,,
acs_income_oh_2022,NON-MONOTONE,8.0,0.0,8.0,3.33,+-------,0.423,down,,,
acs_income_oh_2022_t58275,NON-MONOTONE,9.0,0.0,9.0,5.56,++-------,0.328,down,,,
acs_income_oh_2022_t60000,WITHDRAWAL,9.0,0.0,9.0,6.21,-------++,0.288,down,True,0.507-0.554,
acs_income_ok_2019,WITHDRAWAL,13.0,1.0,8.0,12.99,--------,0.25,down,True,,
acs_income_or_2014,WITHDRAWAL,13.0,0.0,8.0,8.96,-------+,0.256,down,True,0.430-0.510,
acs_income_or_2018,WITHDRAWAL,29.0,0.0,22.0,7.36,------------------++++,0.353,down,True,0.528-0.584,
acs_income_or_2018_rac1p,WITHDRAWAL,7.0,0.0,4.0,29.2,---+,0.351,down,True,0.358-0.652,
acs_income_pa_2014,WITHDRAWAL,13.0,1.0,8.0,5.06,--------,0.257,down,True,,
acs_income_pa_2014_rac1p,WITHDRAWAL,13.0,0.0,7.0,14.8,-----++,0.255,down,True,0.351-0.412,
acs_income_pa_2018,WITHDRAWAL,10.0,0.0,10.0,6.7,---------+,0.333,down,True,0.623-0.681,
acs_income_ri_2018_rac1p,REFUSED (noise floor),13.0,,,,,,,,,1714.0
acs_income_sc_2018,WITHDRAWAL,29.0,2.0,19.0,5.73,------------------+,0.256,down,True,0.516-0.554,
acs_income_sc_2022,VOID (flat),9.0,0.0,9.0,1.07,++-------,,,,,
acs_income_sc_2022_t60000,VOID (flat),8.0,0.0,8.0,1.25,--------,,,,,
acs_income_tn_2014,WITHDRAWAL,13.0,2.0,7.0,6.56,-------,0.194,down,True,,
acs_income_tn_2018,VOID (flat),13.0,1.0,8.0,1.27,--------,,,,,
acs_income_tx_2014,WITHDRAWAL,9.0,0.0,9.0,4.5,---++++++,0.278,down,True,0.297-0.346,
acs_income_tx_2018,NON-MONOTONE,10.0,0.0,10.0,2.75,+++++---++,0.347,up,,,
acs_income_tx_2018_rac1p,WITHDRAWAL,10.0,0.0,9.0,39.85,-----++++,0.345,down,True,0.462-0.521,
acs_income_tx_2019,NON-MONOTONE,13.0,1.0,10.0,2.45,+++++++--+,0.386,up,,,
acs_income_ut_2014_rac1p,WITHDRAWAL,13.0,0.0,10.0,26.87,------++++,0.264,down,True,0.292-0.347,
acs_income_va_2014,EXTENSION,9.0,0.0,9.0,6.24,+++++++++,0.369,up,True,,
acs_income_va_2018,EXTENSION,8.0,0.0,8.0,6.99,++++++++,0.438,up,True,,
acs_income_va_2018_rac1p,WITHDRAWAL,8.0,0.0,8.0,23.45,-----+++,0.435,down,True,0.487-0.560,
acs_income_va_2019,EXTENSION,13.0,1.0,11.0,7.98,+++++++++++,0.463,up,True,,
acs_income_vt_2014_rac1p,REFUSED (noise floor),13.0,,,,,,,,,1097.0
acs_income_vt_2019_rac1p,REFUSED (noise floor),13.0,,,,,,,,,1131.0
acs_income_wa_2014_rac1p,WITHDRAWAL,13.0,0.0,8.0,10.07,-------+,0.347,down,True,0.580-0.645,
acs_income_wi_2018,NON-MONOTONE,13.0,0.0,8.0,6.71,+-------,0.308,down,,,
acs_income_wi_2019_rac1p,WITHDRAWAL,13.0,0.0,10.0,23.78,------++++,0.339,down,True,0.377-0.452,
acs_income_wy_2014_rac1p,REFUSED (noise floor),13.0,,,,,,,,,952.0
acs_income_wy_2019,REFUSED (noise floor),13.0,,,,,,,,,947.0
compas_2016_race,REFUSED (noise floor),18.0,,,,,,,,,1584.0
dutch_2001_sex,NON-MONOTONE,18.0,0.0,15.0,59.86,-----++---+++++,0.437,up,,,
hmda_al_2018_race,VOID (flat),7.0,0.0,5.0,1.82,+++++,,,,,
hmda_ga_2018_race,NON-MONOTONE,7.0,0.0,5.0,2.18,+---+,0.835,down,,,
hmda_il_2018_race_improvement,EXTENSION,9.0,0.0,8.0,14.49,----++++,0.68,up,True,0.511-0.596,
hmda_la_2018_race,EXTENSION,7.0,0.0,6.0,3.84,--++++,0.794,up,True,0.620-0.697,
hmda_md_2018_race_improvement,WITHDRAWAL,9.0,0.0,8.0,6.8,-------+,0.668,down,True,0.668-0.721,
hmda_ms_2018_race,VOID (flat),7.0,0.0,5.0,1.86,+++++,,,,,
hmda_ms_la_2018_race,INDETERMINATE (no natural arm),6.0,0.0,4.0,3.6,-+++,,,,0.620-0.700,
hmda_ms_la_2018_race_improvement,WITHDRAWAL,7.0,0.0,6.0,8.73,------,0.555,down,True,,
hmda_ms_la_2018_race_refinance,EXTENSION,7.0,0.0,5.0,4.79,-++++,0.871,up,True,0.709-0.807,
hmda_nc_2018_race,EXTENSION,7.0,0.0,5.0,8.08,--+++,0.873,up,True,0.834-0.864,
hmda_ny_2018_race_improvement,EXTENSION,9.0,0.0,8.0,11.01,-----+++,0.653,up,True,0.560-0.653,
