arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7981,0.1416,0.1675,0.5256,1767.8,,,,
expgrad_dp,0.7504,0.0204,0.0464,0.9139,1541.8,-12.7757,0.5219,0.7672,1.6667
expgrad_dp_floor,0.7509,0.023,0.0487,0.9168,1797.4,1.6747,0.1994,0.6682,0.9384
