arm,accuracy,dp_diff,eo_diff,disparate_impact,positives,positives_pct_change,share_levelling_down,people_share_levelling_down,lost_per_gained
baseline,0.7921,0.0933,0.0282,0.7624,2287.8,,,,
expgrad_dp,0.783,0.0295,0.0638,0.9132,2131.8,-6.8061,0.8479,0.6965,2.1045
expgrad_dp_floor,0.7834,0.0305,0.0676,0.9172,2332.0,1.9408,0.3705,0.508,0.844
