method,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,people_share_levelling_down,lost_per_gained,positives_pct_change
expgrad_dp,0.0924,0.0214,0.071,0.2292,0.8708,1.3738,-3.7269
expgrad_eo,0.0452,0.0178,0.0273,0.3765,0.9008,1.7433,-3.9191
gridsearch_dp,0.0954,0.0217,0.0738,0.2244,0.875,1.3727,-3.736
prejudice_remover,0.1219,0.0044,0.1175,0.0382,0.4457,0.7308,1.9447
adversarial_debiasing,0.0336,0.0554,-0.0219,2.0898,0.9853,3.8993,-15.1251
