seed,arm,floor_target,n_test,accuracy,dp_diff,eo_diff,disparate_impact,positives,dp_closure,share_levelling_down,people_share_levelling_down,lost_per_gained,priv_lost,unpriv_gained,positives_pct_change
0,baseline,0.6005398272552783,35726,0.7941555169904272,0.0924008005043857,0.04959423697617377,0.849393544061374,21442,,,,,,,
0,expgrad_dp,0.6005398272552783,35726,0.7808318871410177,0.019220411086544487,0.03995306772020424,0.9687155287677023,21850,0.07318038941784122,-0.011623583050916932,0.6669354838709678,0.6777251184834123,827.0,413.0,1.9028075739203432
0,expgrad_dp_floor,0.6005398272552783,35726,0.7827352628337905,0.018922986324674484,0.03812807404569729,0.9694259435458293,22014,0.07347781417971122,-0.07346645885973223,0.6233653007846556,0.5640243902439024,715.0,432.0,2.6676615987314616
1,baseline,0.599940019193858,35726,0.7940995353524044,0.08565057085772454,0.04118632717990717,0.8604033620114531,21478,,,,,,,
1,expgrad_dp,0.599940019193858,35726,0.7762693836421654,0.006668959329081736,0.053731634476935075,0.989118485514722,21861,0.0789816115286428,0.008698706850046855,0.6661514683153014,0.6991358994501178,862.0,432.0,1.7832200391097868
1,expgrad_dp_floor,0.599940019193858,35726,0.7801880983037563,0.010503995167148839,0.049087181383980605,0.9830527782381066,22089,0.0751465756905757,-0.08315446298396265,0.6140350877192983,0.540946656649136,700.0,440.0,2.8447713939845425
2,baseline,0.5996041266794626,35726,0.7953871130269272,0.08380823654189407,0.04263060576715616,0.8633842164076831,21484,,,,,,,
2,expgrad_dp,0.5996041266794626,35726,0.7768851816604154,0.007010867828519007,0.05538049661641159,0.9886352256021154,22003,0.07679736871337506,-0.04473056152458464,0.6500789889415481,0.6214442013129103,823.0,443.0,2.4157512567492088
2,expgrad_dp_floor,0.5996041266794626,35726,0.7812517494261882,0.010564190236200033,0.04669721193941484,0.9830157248706244,22167,0.07324404630569403,-0.11658148151867224,0.6247877758913413,0.5253648366921473,736.0,442.0,3.179110035375163
3,baseline,0.5993162188099808,35726,0.7953871130269272,0.09337752795196774,0.048112655447663966,0.8473211982786003,21368,,,,,,,
3,expgrad_dp,0.5993162188099808,35726,0.780160107484745,0.021470567946246133,0.04242805450187126,0.9650045656777604,21808,0.07190696000572161,-0.026843706039727237,0.6459412780656304,0.6384552177485621,748.0,410.0,2.0591538749532012
3,expgrad_dp_floor,0.5993162188099808,35726,0.7796282819235291,0.012467201485969914,0.05361477797773223,0.9798672611675742,22059,0.08091032646599783,-0.0946178978784319,0.5877862595419847,0.5109695682944091,693.0,486.0,3.233807562710595
4,baseline,0.5998680422264875,35726,0.7931198566870067,0.08780257944810743,0.043657069841268825,0.856674304757765,21433,,,,,,,
4,expgrad_dp,0.5998680422264875,35726,0.7786486032581313,0.0122788810792962,0.05074214038428515,0.9800214905211452,21894,0.07552369836881123,-0.026424572938739784,0.6536,0.6483600305110603,817.0,433.0,2.1508888163112956
4,expgrad_dp_floor,0.5998680422264875,35726,0.7797402451995745,0.013061087279933492,0.046995619405495126,0.9789415975420167,22091,0.07474149216817394,-0.10198952009073399,0.6136170212765958,0.5326704545454546,721.0,454.0,3.0700321933467083
