axis,knob,positives_base,n_test,dp_base,pie,exchange,acc_base,selection_rate
operating_point,0.1,14996.8,18126.0,0.065612,12.384427,0.031831,0.625764,0.827364
operating_point,0.25,11689.6,18126.0,0.169625,13.644689,0.342083,0.748902,0.644908
operating_point,0.4,9003.4,18126.0,0.207424,-4.343548,1.29306,0.808077,0.496712
operating_point,0.62,7064.8,18126.0,0.160876,0.287946,0.98204,0.812634,0.389761
operating_point,0.8,5388.0,18126.0,0.15859,-27.039698,2.970562,0.768697,0.297253
operating_point,0.93,2142.0,18126.0,0.058534,-35.986726,8.108845,0.634481,0.118173
