method,accuracy,demographic_parity_diff,equalized_odds_diff,disparate_impact,seed
decision_tree,0.7130434782608696,0.1887416432987441,0.14236579130838953,0.6308213457076566,0
logistic_regression,0.7565217391304347,0.2005371063631921,0.11305676855895197,0.5622203347696386,0
