seed,method,accuracy,dp_closure,dp_from_priv_loss,dp_from_unpriv_gain,dp_share_levelling_down,dp_verdict,tpr_closure,tpr_share_levelling_down,tpr_verdict,priv_lost,priv_gained,unpriv_lost,unpriv_gained,pct_churn_priv,pct_churn_unpriv,people_share_levelling_down,lost_per_gained,net_favourable_change,total_churn,arbitrariness_floor,churn_that_is_noise,positives_delta,positives_pct_change
0,expgrad_dp,0.7326086956521739,0.15246798475984424,0.10838445807770963,0.04408352668213461,0.7108669944606957,mixed,0.28030567685589514,0.6075712727839226,mixed,59,6,7,26,13.292433537832311,7.65661252900232,0.6941176470588235,2.0625,-34.0,0.10652173913043478,0.04673913043478261,0.4387755102040817,-34,-10.149253731343284
0,expgrad_eo,0.7565217391304347,0.008455154940002596,0.006134969325153394,0.0023201856148492017,0.725589225589225,mixed,0.004366812227074246,1.0,levelling down,5,2,0,1,1.4314928425357873,0.23201856148491878,0.8333333333333334,1.6666666666666667,-2.0,0.008695652173913044,0.009782608695652175,1.0,-2,-0.5970149253731343
0,gridsearch_dp,0.7336956521739131,0.1285971180352915,0.09611451942740284,0.03248259860788866,0.7474080360107735,mixed,0.2472052401746725,0.6359300476947533,mixed,53,6,5,19,12.065439672801636,5.568445475638051,0.7361111111111112,2.32,-33.0,0.09021739130434783,0.0,0.0,-33,-9.850746268656716
0,prejudice_remover,0.7380434782608696,0.07790414644214488,0.024539877300613522,0.05336426914153136,0.3150009135757355,mixed,0.18550218340611346,0.3531073446327681,mixed,37,25,13,36,12.678936605316974,11.368909512761022,0.5068493150684932,0.819672131147541,11.0,0.12065217391304348,0.0,0.0,11,3.283582089552239
0,adversarial_debiasing,0.7304347826086957,0.08825245896972375,0.17177914110429449,-0.08352668213457073,1.946451612903225,levelling down,0.09890829694323144,2.516556291390728,levelling down,87,3,40,4,18.404907975460123,10.208816705336426,0.9560439560439561,18.142857142857142,-120.0,0.14565217391304347,0.0,0.0,-120,-35.82089552238806
1,expgrad_dp,0.7108695652173913,0.15124858250418727,0.10020449897750511,0.05104408352668216,0.6625152931580762,mixed,0.2615720524017468,0.6176961602671116,mixed,59,10,19,41,14.110429447852761,13.921113689095128,0.59,1.5294117647058822,-27.0,0.14021739130434782,0.02717391304347826,0.1937984496124031,-27,-8.282208588957054
1,expgrad_eo,0.7206521739130435,0.03165701108849445,0.006134969325153394,0.025522041763341052,0.19379496402877758,levelling up,0.05056768558951963,0.6044905008635574,mixed,12,9,5,16,4.294478527607362,4.872389791183295,0.42857142857142855,0.68,8.0,0.04565217391304348,0.07717391304347826,1.0,8,2.4539877300613497
1,gridsearch_dp,0.7282608695652174,0.10323165321528383,0.07770961145194277,0.025522041763341052,0.7527692236981204,levelling down,0.18353711790393012,0.618605757792053,mixed,47,9,16,27,11.451942740286299,9.976798143851509,0.6351351351351351,1.75,-27.0,0.10760869565217392,0.0,0.0,-27,-8.282208588957054
1,prejudice_remover,0.7206521739130435,0.07613435250689177,0.02044989775051126,0.05568445475638051,0.26860276704474645,mixed,0.0662008733624454,0.3957783641160943,mixed,35,25,21,45,12.269938650306749,15.31322505800464,0.4375,0.8,14.0,0.13695652173913042,0.0,0.0,14,4.294478527607362
1,adversarial_debiasing,0.725,0.10681394388851723,0.17177914110429449,-0.06496519721577726,1.6082089552238805,levelling down,0.2607423580786026,1.0383520348350361,levelling down,92,8,47,19,20.449897750511248,15.31322505800464,0.8288288288288288,5.148148148148148,-112.0,0.18043478260869567,0.0,0.0,-112,-34.355828220858896
2,expgrad_dp,0.7108695652173913,0.15191759308024805,0.11247443762781184,0.03944315545243621,0.7403647948029233,mixed,0.2634061135371179,0.6962864721485412,mixed,62,7,12,29,14.110429447852761,9.51276102088167,0.6813186813186813,2.0555555555555554,-38.0,0.11956521739130435,0.04565217391304348,0.38181818181818183,-38,-12.218649517684888
2,expgrad_eo,0.7293478260869565,0.03315160918394944,0.012269938650306733,0.020881670533642704,0.3701159295835118,mixed,0.036200873362445374,0.7237635705669506,mixed,8,2,3,12,2.044989775051125,3.480278422273782,0.4,0.7857142857142857,3.0,0.02717391304347826,0.051086956521739134,1.0,3,0.9646302250803859
2,gridsearch_dp,0.7032608695652174,0.14004146916620402,0.11451942740286297,0.025522041763341052,0.8177536845671693,levelling down,0.22213973799126635,0.8649498722233147,levelling down,62,6,15,26,13.905930470347649,9.51276102088167,0.7045454545454546,2.40625,-45.0,0.11847826086956521,0.0,0.0,-45,-14.469453376205788
2,prejudice_remover,0.7315217391304348,0.11089917868276089,0.05521472392638038,0.05568445475638051,0.49788217173661925,mixed,0.20296943231441056,0.4087779690189331,mixed,44,17,17,41,12.474437627811861,13.45707656612529,0.5176470588235295,1.0517241379310345,-3.0,0.12934782608695652,0.0,0.0,-3,-0.9646302250803859
2,adversarial_debiasing,0.7206521739130435,0.08321827300376258,0.1574642126789366,-0.07424593967517401,1.8921831347283198,levelling down,0.09707423580786023,2.339181286549709,levelling down,82,5,40,8,17.791411042944784,11.136890951276103,0.9111111111111111,9.384615384615385,-109.0,0.14673913043478262,0.0,0.0,-109,-35.048231511254016
